"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"20.11.2019","2.628,00","2.658,00","2.658,00","2.613,00","19,16K","-0,94%"
"19.11.2019","2.653,00","2.673,00","2.678,00","2.648,00","18,76K","-0,41%"
"18.11.2019","2.664,00","2.686,00","2.694,00","2.660,00","18,76K","-0,63%"
"15.11.2019","2.681,00","2.672,00","2.692,00","2.654,00","19,06K","0,45%"
"14.11.2019","2.669,00","2.675,00","2.686,00","2.644,00","30,00K","0,53%"
"13.11.2019","2.655,00","2.606,00","2.675,00","2.602,00","36,71K","1,34%"
"12.11.2019","2.620,00","2.506,00","2.637,00","2.501,00","52,07K","4,22%"
"11.11.2019","2.514,00","2.494,00","2.518,00","2.476,00","26,02K","0,64%"
"08.11.2019","2.498,00","2.450,00","2.507,00","2.448,00","32,61K","1,96%"
"07.11.2019","2.450,00","2.470,00","2.478,00","2.435,00","38,31K","-0,89%"
"06.11.2019","2.472,00","2.506,00","2.511,00","2.454,00","28,75K","-1,12%"
"05.11.2019","2.500,00","2.503,00","2.513,00","2.488,00","29,78K","-0,24%"
"04.11.2019","2.506,00","2.486,00","2.525,00","2.479,00","29,00K","0,20%"
"01.11.2019","2.501,00","2.446,00","2.505,00","2.430,00","31,80K","2,25%"
"31.10.2019","2.446,00","2.508,00","2.515,00","2.440,00","27,23K","-2,00%"
"30.10.2019","2.496,00","2.525,00","2.539,00","2.487,00","20,43K","-1,11%"
"29.10.2019","2.524,00","2.499,00","2.528,00","2.486,00","23,88K","0,80%"
"28.10.2019","2.504,00","2.483,00","2.508,00","2.470,00","13,05K","0,85%"
"25.10.2019","2.483,00","2.502,00","2.517,00","2.477,00","11,10K","-0,72%"
"24.10.2019","2.501,00","2.493,00","2.532,00","2.480,00","16,11K","0,24%"
"23.10.2019","2.495,00","2.489,00","2.506,00","2.465,00","11,61K","0,44%"
"22.10.2019","2.484,00","2.501,00","2.521,00","2.477,00","11,00K","-0,88%"
"21.10.2019","2.506,00","2.520,00","2.534,00","2.486,00","9,02K","-0,28%"
"18.10.2019","2.513,00","2.532,00","2.560,00","2.492,00","9,40K","0,08%"
"17.10.2019","2.511,00","2.540,00","2.567,00","2.505,00","9,43K","-0,91%"
"16.10.2019","2.534,00","2.527,00","2.547,00","2.508,00","9,69K","-0,31%"
"15.10.2019","2.542,00","2.476,00","2.557,00","2.473,00","12,26K","2,91%"
"14.10.2019","2.470,00","2.512,00","2.512,00","2.462,00","9,09K","-2,10%"
"11.10.2019","2.523,00","2.467,00","2.568,00","2.467,00","12,84K","1,86%"
"10.10.2019","2.477,00","2.428,00","2.479,00","2.424,00","11,68K","2,10%"
"09.10.2019","2.426,00","2.466,00","2.476,00","2.420,00","10,37K","-1,70%"
"08.10.2019","2.468,00","2.445,00","2.485,00","2.414,00","13,96K","0,98%"
"07.10.2019","2.444,00","2.483,00","2.485,00","2.420,00","15,88K","-1,89%"
"04.10.2019","2.491,00","2.543,00","2.545,00","2.483,00","12,08K","-1,62%"
"03.10.2019","2.532,00","2.500,00","2.539,00","2.487,00","11,58K","1,48%"
"02.10.2019","2.495,00","2.473,00","2.506,00","2.469,00","11,37K","1,34%"
"01.10.2019","2.462,00","2.463,00","2.478,00","2.455,00","11,07K","0,24%"
"30.09.2019","2.456,00","2.486,00","2.500,00","2.455,00","14,76K","-1,41%"
"27.09.2019","2.491,00","2.505,00","2.513,00","2.480,00","12,72K","-0,64%"
"26.09.2019","2.507,00","2.482,00","2.512,00","2.466,00","14,74K","1,09%"
"25.09.2019","2.480,00","2.455,00","2.487,00","2.451,00","11,23K","1,10%"
"24.09.2019","2.453,00","2.473,00","2.482,00","2.449,00","9,36K","-0,57%"
"23.09.2019","2.467,00","2.485,00","2.485,00","2.460,00","11,17K","-0,48%"
"20.09.2019","2.479,00","2.475,00","2.490,00","2.451,00","18,33K","0,16%"
"19.09.2019","2.475,00","2.415,00","2.479,00","2.413,00","17,25K","2,74%"
"18.09.2019","2.409,00","2.405,00","2.418,00","2.390,00","16,09K","0,50%"
"17.09.2019","2.397,00","2.372,00","2.409,00","2.366,00","20,29K","0,84%"
"16.09.2019","2.377,00","2.335,00","2.386,00","2.326,00","13,44K","1,71%"
"13.09.2019","2.337,00","2.326,00","2.369,00","2.322,00","28,74K","0,78%"
"12.09.2019","2.319,00","2.308,00","2.326,00","2.294,00","15,57K","0,65%"
"11.09.2019","2.304,00","2.287,00","2.310,00","2.274,00","20,95K","0,74%"
"10.09.2019","2.287,00","2.308,00","2.313,00","2.279,00","21,01K","-0,74%"
"09.09.2019","2.304,00","2.273,00","2.317,00","2.259,00","21,30K","1,19%"
"06.09.2019","2.277,00","2.233,00","2.287,00","2.229,00","20,43K","1,43%"
"05.09.2019","2.245,00","2.278,00","2.282,00","2.229,00","20,90K","-1,06%"
"04.09.2019","2.269,00","2.248,00","2.290,00","2.239,00","32,70K","1,07%"
"03.09.2019","2.245,00","2.210,00","2.247,00","2.187,00","29,47K","1,04%"
"30.08.2019","2.222,00","2.180,00","2.227,00","2.180,00","17,79K","1,69%"
"29.08.2019","2.185,00","2.236,00","2.243,00","2.177,00","21,16K","-2,59%"
"28.08.2019","2.243,00","2.234,00","2.254,00","2.211,00","18,57K","-0,18%"
