"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2025","7.902,00","7.973,00","8.115,00","7.808,00","7,74K","-1,74%"
"28.03.2025","8.042,00","7.933,00","8.104,00","7.880,00","5,00K","0,79%"
"27.03.2025","7.979,00","7.970,00","8.225,00","7.900,00","6,52K","-0,81%"
"26.03.2025","8.044,00","8.061,00","8.200,00","7.940,00","6,81K","0,61%"
"25.03.2025","7.995,00","8.075,00","8.147,00","7.912,00","5,14K","-1,04%"
"24.03.2025","8.079,00","7.807,00","8.171,00","7.806,00","7,78K","4,04%"
"21.03.2025","7.765,00","8.036,00","8.146,00","7.639,00","8,89K","-3,79%"
"20.03.2025","8.071,00","8.084,00","8.356,00","7.916,00","7,00K","-0,62%"
"19.03.2025","8.121,00","7.930,00","8.249,00","7.884,00","5,59K","1,25%"
"18.03.2025","8.021,00","7.837,00","8.212,00","7.784,00","5,93K","2,48%"
"17.03.2025","7.827,00","7.830,00","7.988,00","7.777,00","6,26K","1,28%"
"14.03.2025","7.728,00","7.728,00","7.728,00","7.728,00","8,33K","-3,77%"
"13.03.2025","8.031,00","8.415,00","8.415,00","8.415,00","0,00K","-2,11%"
"12.03.2025","8.204,00","8.204,00","8.204,00","8.204,00","6,49K","0,65%"
"11.03.2025","8.151,00","8.151,00","8.151,00","8.151,00","7,70K","-1,55%"
"10.03.2025","8.279,00","8.279,00","8.279,00","8.279,00","8,42K","-0,16%"
"07.03.2025","8.292,00","8.181,00","8.678,00","8.138,00","9,20K","1,28%"
"06.03.2025","8.187,00","8.009,00","8.327,00","7.940,00","8,01K","1,50%"
"05.03.2025","8.066,00","8.557,00","8.780,00","7.976,00","8,86K","-3,70%"
"04.03.2025","8.376,00","8.004,00","8.632,00","7.770,00","15,53K","2,00%"
"03.03.2025","8.212,00","8.946,00","8.954,00","8.105,00","13,16K","-10,00%"
"28.02.2025","9.124,00","9.233,00","9.279,00","8.785,00","7,70K","-1,42%"
"27.02.2025","9.255,00","9.216,00","9.338,00","8.907,00","11,90K","0,27%"
"26.02.2025","9.230,00","8.780,00","9.309,00","8.731,00","7,90K","4,83%"
"25.02.2025","8.805,00","8.450,00","8.830,00","8.335,00","10,66K","3,81%"
"24.02.2025","8.482,00","9.325,00","9.460,00","8.308,00","17,83K","-7,20%"
"21.02.2025","9.140,00","10.250,00","10.300,00","9.124,00","24,90K","-10,98%"
"20.02.2025","10.267,00","10.334,00","10.414,00","10.198,00","9,36K","-1,28%"
"19.02.2025","10.400,00","10.413,00","10.539,00","10.303,00","6,99K","-0,87%"
"18.02.2025","10.491,00","10.320,00","10.521,00","10.210,00","10,09K","1,61%"
"14.02.2025","10.325,00","10.572,00","10.715,00","10.255,00","8,50K","-2,02%"
"13.02.2025","10.538,00","10.200,00","10.610,00","10.188,00","9,63K","4,02%"
"12.02.2025","10.131,00","10.269,00","10.440,00","10.035,00","12,73K","-1,66%"
"11.02.2025","10.302,00","9.917,00","10.323,00","9.889,00","8,94K","4,29%"
"10.02.2025","9.878,00","9.959,00","10.066,00","9.739,00","15,31K","-2,32%"
"07.02.2025","10.113,00","10.046,00","10.353,00","9.650,00","17,30K","-0,14%"
"06.02.2025","10.127,00","10.483,00","10.492,00","9.911,00","15,75K","-3,71%"
"05.02.2025","10.517,00","10.770,00","10.822,00","10.426,00","11,44K","-3,20%"
"04.02.2025","10.865,00","10.927,00","11.039,00","10.609,00","9,36K","-0,43%"
"03.02.2025","10.912,00","10.875,00","11.175,00","10.668,00","8,21K","-0,68%"
"31.01.2025","10.987,00","11.094,00","11.200,00","10.533,00","11,42K","-1,96%"
"30.01.2025","11.207,00","11.694,00","11.733,00","11.047,00","6,99K","-4,08%"
"29.01.2025","11.684,00","11.539,00","11.784,50","11.539,00","6,82K","2,46%"
"28.01.2025","11.404,00","11.401,00","11.404,00","11.401,00","4,99K","-0,25%"
"27.01.2025","11.433,00","11.425,00","11.433,00","11.412,00","6,49K","-1,63%"
"24.01.2025","11.623,00","11.637,00","11.637,00","11.623,00","5,60K","0,54%"
"23.01.2025","11.561,00","11.570,00","11.577,00","11.561,00","6,88K","-1,04%"
"22.01.2025","11.682,00","11.688,00","11.688,00","11.667,00","8,29K","1,23%"
"21.01.2025","11.540,00","11.527,00","11.549,00","11.361,50","7,88K","3,28%"
"17.01.2025","11.173,00","11.153,00","11.173,00","11.149,00","9,06K","6,73%"
"16.01.2025","10.468,00","10.468,00","10.478,00","10.460,00","8,93K","-3,96%"
"15.01.2025","10.900,00","10.888,00","10.900,00","10.877,00","4,97K","-0,27%"
"14.01.2025","10.929,00","10.929,00","10.929,00","10.929,00","6,41K","0,00%"
"13.01.2025","10.929,00","10.912,00","10.929,00","10.912,00","5,89K","3,31%"
"10.01.2025","10.579,00","10.569,00","10.585,00","10.567,00","6,68K","-3,63%"
"09.01.2025","10.978,00","10.965,00","10.978,00","10.950,00","10,19K","-1,83%"
"08.01.2025","11.183,00","11.161,00","11.193,00","11.161,00","10,59K","-0,36%"
"07.01.2025","11.223,00","11.221,00","11.225,00","11.221,00","5,42K","0,21%"
"06.01.2025","11.199,00","11.209,00","11.211,00","11.188,00","7,77K","-3,18%"
"03.01.2025","11.567,00","11.599,00","11.600,00","11.567,00","4,50K","3,13%"
"02.01.2025","11.216,00","11.217,00","11.217,00","11.216,00","6,29K","-2,85%"
"31.12.2024","11.545,00","11.498,00","11.545,00","11.498,00","11,08K","2,70%"
"30.12.2024","11.241,00","11.203,00","11.241,00","11.197,00","15,41K","13,82%"
"27.12.2024","9.876,00","9.896,00","9.918,00","9.836,00","13,23K","-9,19%"
"26.12.2024","10.876,00","10.870,00","10.897,00","10.864,00","6,98K","-8,13%"
"24.12.2024","11.839,00","11.613,50","11.967,50","11.429,50","3,42K","2,22%"
"23.12.2024","11.582,00","11.541,00","11.582,00","11.541,00","6,76K","-2,41%"
"20.12.2024","11.868,00","11.828,00","11.914,00","11.812,00","11,98K","0,76%"
"19.12.2024","11.779,00","11.784,00","11.785,00","11.759,00","13,41K","-6,86%"
"18.12.2024","12.646,00","12.592,00","12.646,00","12.591,00","16,52K","5,98%"
"17.12.2024","11.933,00","11.934,00","11.934,00","11.923,00","11,58K","2,02%"
"16.12.2024","11.697,00","11.708,00","11.716,00","11.315,00","13,72K","3,51%"
"13.12.2024","11.300,00","10.802,00","11.365,00","10.655,00","12,77K","4,43%"
"12.12.2024","10.821,00","10.483,00","10.900,00","10.406,00","7,61K","2,31%"
"11.12.2024","10.577,00","10.640,00","10.659,00","10.246,00","11,67K","0,19%"
"10.12.2024","10.557,00","10.272,00","10.690,00","10.247,00","13,45K","4,72%"
"09.12.2024","10.081,00","9.858,00","10.454,00","9.810,00","12,05K","2,31%"
"06.12.2024","9.853,00","9.809,00","10.092,00","9.790,00","10,45K","0,00%"
"05.12.2024","9.853,00","9.419,00","9.988,00","9.401,00","10,72K","4,81%"
"04.12.2024","9.401,00","9.069,00","9.450,00","9.015,00","9,57K","4,02%"
"03.12.2024","9.038,00","9.430,00","9.510,00","8.870,00","11,37K","-3,87%"
"02.12.2024","9.402,00","9.406,00","9.569,00","9.291,00","10,71K","-0,24%"
"29.11.2024","9.425,00","9.180,00","9.520,00","9.155,00","8,67K","3,94%"
"27.11.2024","9.068,00","9.200,00","9.317,00","9.050,00","8,55K","-1,82%"
"26.11.2024","9.236,00","8.999,00","9.282,00","8.843,00","9,57K","2,94%"
"25.11.2024","8.972,00","8.929,00","9.198,00","8.885,00","9,00K","-1,24%"
"22.11.2024","9.085,00","8.720,00","9.294,00","8.684,00","14,56K","5,21%"
"21.11.2024","8.635,00","8.500,00","8.747,00","8.465,00","8,69K","1,68%"
"20.11.2024","8.492,00","8.594,00","8.752,00","8.401,00","11,32K","-0,83%"
"19.11.2024","8.563,00","8.264,00","8.659,00","8.181,00","10,16K","2,98%"
"18.11.2024","8.315,00","8.510,00","8.550,00","8.110,00","16,53K","-2,22%"
"15.11.2024","8.504,00","8.687,00","8.783,00","8.431,00","16,71K","-0,02%"
"14.11.2024","8.506,00","8.043,00","8.696,00","7.952,00","17,92K","6,71%"
"13.11.2024","7.971,00","7.677,00","8.289,00","7.641,00","17,12K","4,32%"
"12.11.2024","7.641,00","7.208,00","7.725,00","7.182,00","16,35K","6,51%"
"11.11.2024","7.174,00","6.977,00","7.249,00","6.935,00","12,85K","2,68%"
"08.11.2024","6.987,00","7.189,00","7.247,00","6.933,00","16,33K","-2,66%"
"07.11.2024","7.178,00","6.685,00","7.208,00","6.676,00","17,34K","7,62%"
"06.11.2024","6.670,00","6.918,00","6.940,00","6.606,00","11,79K","-3,97%"
"05.11.2024","6.946,00","6.930,00","7.030,00","6.789,00","9,67K","-0,26%"
"04.11.2024","6.964,00","6.922,00","7.060,00","6.740,00","11,90K","0,20%"
"01.11.2024","6.950,00","6.890,00","7.034,00","6.836,00","8,89K","0,87%"
"31.10.2024","6.890,00","6.941,00","7.024,00","6.789,00","6,75K","-0,96%"
"30.10.2024","6.957,00","6.805,00","6.986,00","6.666,00","10,02K","1,55%"
"29.10.2024","6.851,00","6.455,00","6.908,00","6.455,00","11,06K","5,56%"
"28.10.2024","6.490,00","6.310,00","6.511,00","6.243,00","9,12K","2,85%"
"25.10.2024","6.310,00","6.204,00","6.400,00","6.016,00","13,39K","1,04%"
"24.10.2024","6.245,00","6.381,00","6.425,00","6.210,00","10,80K","-2,60%"
"23.10.2024","6.412,00","6.443,00","6.594,00","6.343,00","7,70K","-1,13%"
"22.10.2024","6.485,00","6.603,00","6.635,00","6.352,00","7,17K","-2,44%"
"21.10.2024","6.647,00","6.559,00","6.855,00","6.559,00","5,09K","-0,09%"
"18.10.2024","6.653,00","7.004,00","7.069,00","6.615,00","5,27K","-4,41%"
"17.10.2024","6.960,00","6.897,00","7.109,00","6.716,00","6,52K","0,17%"
"16.10.2024","6.948,00","7.218,00","7.336,00","6.855,00","5,88K","-2,46%"
"15.10.2024","7.123,00","6.856,00","7.211,00","6.773,00","5,44K","3,89%"
"14.10.2024","6.856,00","6.849,00","6.985,00","6.763,00","5,97K","-0,17%"
"11.10.2024","6.868,00","6.673,00","6.952,00","6.672,00","6,22K","3,26%"
"10.10.2024","6.651,00","6.517,00","6.683,00","6.327,00","6,50K","2,04%"
"09.10.2024","6.518,00","6.200,00","6.577,00","6.200,00","7,33K","5,47%"
"08.10.2024","6.180,00","6.073,00","6.275,00","6.057,00","5,28K","2,88%"
"07.10.2024","6.007,00","6.108,00","6.150,00","5.965,00","7,64K","-2,44%"
"04.10.2024","6.157,00","6.119,00","6.189,00","5.944,00","8,16K","1,97%"
"03.10.2024","6.038,00","5.948,00","6.243,00","5.901,00","8,62K","0,90%"
"02.10.2024","5.984,00","6.000,00","6.196,00","5.931,00","11,60K","-0,03%"
"01.10.2024","5.986,00","6.399,00","6.534,00","5.951,00","14,06K","-5,95%"
"30.09.2024","6.365,00","6.763,00","6.770,00","6.352,00","7,71K","-5,88%"
"27.09.2024","6.763,00","6.589,00","6.789,00","6.560,00","6,19K","1,36%"
"26.09.2024","6.672,00","6.448,00","7.129,00","6.436,00","13,95K","3,83%"
"25.09.2024","6.426,00","6.326,00","6.495,00","6.249,00","4,36K","1,58%"
"24.09.2024","6.326,00","6.328,00","6.375,00","6.259,00","4,45K","-0,21%"
"23.09.2024","6.339,00","6.161,00","6.389,00","6.147,00","4,23K","2,14%"
"20.09.2024","6.206,00","6.204,00","6.256,00","6.111,00","4,33K","0,10%"
"19.09.2024","6.200,00","6.210,00","6.281,00","6.135,00","3,33K","-0,29%"
"18.09.2024","6.218,00","6.070,00","6.248,00","6.067,00","5,77K","-19,49%"
"17.09.2024","7.723,00","7.703,00","7.778,00","7.700,00","","26,98%"
