"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2025","379,75","380,00","386,40","378,55","14,17K","-0,05%"
"28.03.2025","379,95","380,80","384,80","377,55","15,50K","0,30%"
"27.03.2025","378,80","392,00","392,10","375,60","21,79K","-3,37%"
"26.03.2025","392,00","400,00","405,40","388,55","14,38K","-1,64%"
"25.03.2025","398,55","393,45","401,00","392,10","12,35K","1,31%"
"24.03.2025","393,40","391,45","402,40","390,60","13,31K","0,51%"
"21.03.2025","391,40","392,00","395,75","386,50","12,38K","-0,19%"
"20.03.2025","392,15","389,30","397,60","386,05","14,04K","-0,62%"
"19.03.2025","394,60","394,15","394,15","394,10","0,02K","1,92%"
"18.03.2025","387,15","386,00","391,95","383,70","0,02K","-0,57%"
"17.03.2025","389,35","382,75","382,75","382,75","0,01K","1,90%"
"14.03.2025","382,10","382,10","382,10","382,10","16,67K","-0,93%"
"13.03.2025","385,70","388,80","391,70","377,05","18,70K","-0,27%"
"12.03.2025","386,75","394,00","396,40","383,15","17,15K","-1,78%"
"11.03.2025","393,75","384,70","395,50","382,00","13,05K","2,54%"
"10.03.2025","384,00","387,00","391,60","380,85","12,98K","-0,10%"
"07.03.2025","384,40","389,00","392,05","379,05","16,31K","-0,71%"
"06.03.2025","387,15","405,05","407,90","385,75","20,87K","-5,56%"
"05.03.2025","409,95","402,00","418,55","402,00","21,23K","2,90%"
"04.03.2025","398,40","389,85","401,55","385,60","19,50K","3,04%"
"03.03.2025","386,65","375,70","389,95","375,70","15,93K","3,65%"
"28.02.2025","373,05","374,90","379,05","369,70","12,80K","-0,15%"
"27.02.2025","373,60","371,60","382,65","369,05","12,18K","-0,43%"
"26.02.2025","375,20","372,80","377,55","366,30","14,59K","-0,19%"
"25.02.2025","375,90","384,80","385,80","370,25","19,95K","-2,31%"
"24.02.2025","384,80","389,25","392,40","380,20","14,26K","-1,14%"
"21.02.2025","389,25","390,00","394,00","383,85","16,85K","-0,17%"
"20.02.2025","389,90","410,20","410,20","386,85","29,23K","-5,34%"
"19.02.2025","411,90","411,00","424,50","409,45","24,49K","1,64%"
"18.02.2025","405,25","406,00","409,25","391,35","33,57K","-0,53%"
"14.02.2025","407,40","422,25","423,90","398,85","27,18K","-4,16%"
"13.02.2025","425,10","417,00","426,70","412,45","28,27K","1,17%"
"12.02.2025","420,20","405,95","421,15","405,30","28,36K","3,91%"
"11.02.2025","404,40","425,00","429,95","401,05","35,48K","-3,97%"
"10.02.2025","421,10","400,15","424,10","400,15","36,68K","4,14%"
"07.02.2025","404,35","403,25","413,95","399,95","25,61K","0,10%"
"06.02.2025","403,95","402,00","411,25","398,70","25,38K","1,56%"
"05.02.2025","397,75","385,90","401,10","381,60","26,19K","3,76%"
"04.02.2025","383,35","385,10","389,90","380,90","19,98K","0,64%"
"03.02.2025","380,90","375,85","388,95","373,40","25,16K","0,81%"
"31.01.2025","377,85","380,00","381,05","366,20","25,87K","1,19%"
"30.01.2025","373,40","368,00","376,85","365,35","20,67K","1,87%"
"29.01.2025","366,55","360,25","369,45","359,20","22,49K","2,53%"
"28.01.2025","357,50","352,55","358,90","346,80","15,98K","2,38%"
"27.01.2025","349,20","348,75","355,55","345,20","19,56K","0,47%"
"24.01.2025","347,55","345,00","349,80","341,90","13,67K","1,05%"
"23.01.2025","343,95","342,00","348,90","338,85","20,10K","0,61%"
"22.01.2025","341,85","331,20","342,95","327,50","20,01K","4,29%"
"21.01.2025","327,80","330,40","336,25","327,10","16,31K","-0,17%"
"17.01.2025","328,35","328,90","332,45","325,90","12,50K","0,37%"
"16.01.2025","327,15","330,55","332,05","325,20","12,58K","-1,00%"
"15.01.2025","330,45","322,50","331,20","321,05","12,30K","2,64%"
"14.01.2025","321,95","325,50","328,85","321,05","16,25K","-1,23%"
"13.01.2025","325,95","322,90","333,85","322,10","19,36K","0,65%"
"10.01.2025","323,85","319,50","325,85","317,75","15,99K","1,68%"
"09.01.2025","318,50","321,00","322,00","316,65","14,25K","0,65%"
"08.01.2025","316,45","320,65","324,30","314,90","21,11K","-1,26%"
"07.01.2025","320,50","320,65","323,10","317,75","12,72K","0,60%"
"06.01.2025","318,60","318,65","328,60","317,05","15,99K","-0,02%"
"03.01.2025","318,65","324,75","326,25","317,65","11,89K","-2,51%"
"02.01.2025","326,85","321,55","329,80","319,75","14,74K","2,22%"
"31.12.2024","319,75","318,85","321,30","312,15","14,69K","-0,39%"
"30.12.2024","321,00","322,15","323,85","316,80","12,65K","-0,51%"
"27.12.2024","322,65","323,65","325,50","318,40","11,07K","-0,62%"
"26.12.2024","324,65","330,00","331,50","322,35","7,16K","-1,20%"
"24.12.2024","328,60","327,05","329,55","322,05","7,21K","0,41%"
"23.12.2024","327,25","325,00","329,75","320,85","10,32K","0,69%"
"20.12.2024","325,00","325,50","329,50","319,00","15,02K","0,39%"
"19.12.2024","323,75","332,65","341,80","321,50","26,44K","-2,82%"
"18.12.2024","333,15","333,15","333,15","333,15","17,91K","2,37%"
"17.12.2024","325,45","322,60","322,60","322,60","0,00K","-1,00%"
"16.12.2024","328,75","328,25","328,25","328,25","0,00K","2,46%"
"13.12.2024","320,85","320,85","320,85","320,85","15,43K","-0,54%"
"12.12.2024","322,60","322,60","322,60","322,60","17,45K","0,28%"
"11.12.2024","321,70","321,70","321,70","321,70","23,42K","-4,16%"
"10.12.2024","335,65","343,85","347,35","343,70","0,02K","1,01%"
"09.12.2024","332,30","332,30","332,30","332,30","27,65K","-0,06%"
"06.12.2024","332,50","315,95","331,70","313,70","26,34K","5,30%"
"05.12.2024","315,75","310,75","312,45","307,85","0,00K","3,20%"
"04.12.2024","305,95","306,60","306,60","305,80","0,02K","2,77%"
"03.12.2024","297,70","298,35","303,45","293,75","0,05K","-0,50%"
"02.12.2024","299,20","318,10","318,10","297,60","0,03K","-6,98%"
"29.11.2024","321,65","334,50","335,00","324,30","1,14K","-1,38%"
"27.11.2024","326,15","320,00","329,50","319,65","0,03K","4,49%"
"26.11.2024","312,15","310,05","313,00","310,05","0,02K","1,23%"
"25.11.2024","308,35","308,30","312,80","307,25","0,08K","1,02%"
"22.11.2024","305,25","296,55","306,25","296,55","0,04K","2,21%"
"21.11.2024","298,65","300,00","300,00","295,75","0,09K","1,13%"
"20.11.2024","295,30","288,00","296,95","286,30","0,25K","5,56%"
"19.11.2024","279,75","281,70","287,20","277,75","6,89K","-0,36%"
"18.11.2024","280,75","284,25","290,20","278,35","7,71K","-0,37%"
"15.11.2024","281,80","274,95","283,90","274,95","10,32K","1,02%"
"14.11.2024","278,95","271,65","285,05","270,95","9,89K","2,69%"
"13.11.2024","271,65","262,90","272,95","260,75","16,03K","3,07%"
"12.11.2024","263,55","256,75","266,40","256,70","23,93K","2,87%"
"11.11.2024","256,20","253,35","258,70","253,35","27,43K","1,12%"
"08.11.2024","253,35","258,00","259,95","252,75","43,85K","-2,71%"
"07.11.2024","260,40","250,15","261,40","249,50","38,86K","4,68%"
"06.11.2024","248,75","248,60","250,80","244,15","24,33K","-0,56%"
"05.11.2024","250,15","246,55","252,25","246,00","28,77K","1,71%"
"04.11.2024","245,95","243,85","246,55","242,10","24,03K","1,23%"
"01.11.2024","242,95","246,30","249,25","241,30","23,12K","-1,20%"
"31.10.2024","245,90","249,00","249,50","244,35","17,38K","-1,48%"
"30.10.2024","249,60","248,70","250,55","245,15","16,87K","0,60%"
"29.10.2024","248,10","253,20","254,25","247,85","13,58K","-1,68%"
"28.10.2024","252,35","247,25","255,65","246,25","17,94K","1,59%"
"25.10.2024","248,40","245,85","248,75","244,40","15,94K","1,20%"
"24.10.2024","245,45","251,90","256,10","244,10","21,96K","-2,73%"
"23.10.2024","252,35","249,25","253,85","247,40","15,43K","1,00%"
"22.10.2024","249,85","252,50","255,70","248,55","17,53K","-0,73%"
"21.10.2024","251,70","253,50","254,05","248,05","16,92K","-2,18%"
"18.10.2024","257,30","254,00","259,10","253,10","11,06K","0,84%"
"17.10.2024","255,15","257,10","261,00","253,40","13,29K","-1,10%"
"16.10.2024","258,00","258,00","259,55","254,80","13,09K","0,51%"
"15.10.2024","256,70","261,70","264,15","255,35","14,78K","-2,04%"
"14.10.2024","262,05","251,05","262,65","250,30","16,92K","3,97%"
"11.10.2024","252,05","254,25","256,45","251,00","13,85K","-1,06%"
"10.10.2024","254,75","248,05","257,10","247,40","15,93K","1,88%"
"09.10.2024","250,05","247,75","252,90","246,60","14,32K","0,75%"
"08.10.2024","248,20","248,05","248,90","244,05","16,06K","1,45%"
"07.10.2024","244,65","252,85","253,65","243,35","26,38K","-4,93%"
"04.10.2024","257,35","253,85","257,75","252,00","14,34K","2,10%"
"03.10.2024","252,05","257,95","258,50","251,40","16,85K","-1,73%"
"02.10.2024","256,50","265,50","267,50","255,75","24,17K","-2,90%"
"01.10.2024","264,15","269,80","271,45","261,50","19,96K","-2,26%"
"30.09.2024","270,25","268,15","272,15","264,10","18,34K","0,41%"
"27.09.2024","269,15","272,00","273,15","264,60","14,95K","-1,73%"
"26.09.2024","273,90","268,75","275,05","267,95","15,57K","1,78%"
"25.09.2024","269,10","267,00","271,20","263,20","15,05K","0,49%"
"24.09.2024","267,80","263,65","270,40","262,70","19,28K","1,57%"
"23.09.2024","263,65","251,90","264,40","250,10","21,10K","5,14%"
"20.09.2024","250,75","261,80","262,10","247,70","23,78K","-4,17%"
"19.09.2024","261,65","260,60","263,00","257,30","14,17K","-0,57%"
"18.09.2024","263,15","265,70","265,70","265,70","0,00K","-0,70%"
"17.09.2024","265,00","264,20","265,05","264,20","0,00K","2,30%"
"16.09.2024","259,05","258,00","271,80","257,55","24,44K","-1,14%"
"13.09.2024","262,05","261,75","261,75","261,75","0,00K","3,99%"
"12.09.2024","252,00","247,15","250,95","246,30","14,57K","1,02%"
"11.09.2024","249,45","247,85","247,85","247,85","0,00K","0,58%"
"10.09.2024","248,00","245,90","251,25","244,75","17,36K","-0,58%"
"09.09.2024","249,45","238,10","246,20","238,10","20,06K","3,92%"
"06.09.2024","240,05","246,50","246,50","240,00","0,00K","-2,66%"
"05.09.2024","246,60","243,70","248,55","242,25","14,98K","0,43%"
"04.09.2024","245,55","246,45","246,45","246,10","0,00K","-0,49%"
"03.09.2024","246,75","246,65","246,65","246,65","0,02K","-0,58%"
"30.08.2024","248,20","255,45","255,50","250,30","0,02K","-1,43%"
"29.08.2024","251,80","258,70","258,70","250,30","0,05K","-3,32%"
"28.08.2024","260,45","259,00","259,05","259,00","0,01K","0,40%"
"27.08.2024","259,40","259,15","263,65","254,65","0,06K","2,27%"
"26.08.2024","253,65","249,40","253,25","248,40","0,01K","0,98%"
"23.08.2024","251,20","246,80","251,35","245,05","0,05K","1,78%"
"22.08.2024","246,80","253,30","253,30","244,50","0,25K","-1,06%"
"21.08.2024","249,45","247,00","253,00","244,00","4,07K","0,00%"
"20.08.2024","249,45","247,90","254,50","245,80","5,94K","1,44%"
"19.08.2024","245,90","245,50","249,80","242,60","5,27K","0,18%"
"16.08.2024","245,45","239,10","245,80","238,55","8,50K","2,31%"
"15.08.2024","239,90","236,80","240,35","234,30","7,42K","1,22%"
"14.08.2024","237,00","232,75","238,95","232,05","10,30K","1,85%"
"13.08.2024","232,70","235,80","237,15","230,10","24,08K","-3,38%"
"12.08.2024","240,85","245,50","249,45","239,25","25,85K","2,91%"
"09.08.2024","234,05","245,30","246,05","232,25","44,48K","-4,59%"
"08.08.2024","245,30","245,25","251,75","243,10","37,13K","-0,41%"
"07.08.2024","246,30","235,35","248,00","235,25","40,13K","4,39%"
"06.08.2024","235,95","229,85","238,85","229,55","31,48K","4,54%"
"05.08.2024","225,70","227,35","227,90","221,00","24,82K","-2,08%"
"02.08.2024","230,50","227,25","231,75","226,45","16,95K","1,43%"
"01.08.2024","227,25","229,20","231,15","225,25","19,19K","-0,85%"
"31.07.2024","229,20","230,50","235,40","227,10","22,04K","-0,69%"
"30.07.2024","230,80","230,85","233,20","228,25","15,92K","0,17%"
"29.07.2024","230,40","230,35","233,60","228,10","16,27K","0,07%"
"26.07.2024","230,25","232,55","233,00","229,80","13,31K","-1,90%"
"25.07.2024","234,70","231,35","235,45","228,55","26,64K","1,54%"
"24.07.2024","231,15","238,00","238,60","230,55","29,80K","-3,32%"
"23.07.2024","239,10","242,50","243,10","238,25","13,52K","-1,63%"
"22.07.2024","243,05","237,70","244,55","236,50","15,36K","2,04%"
"19.07.2024","238,20","241,85","241,85","233,60","20,95K","-2,14%"
"18.07.2024","243,40","243,60","245,40","240,50","14,40K","-1,60%"
"17.07.2024","247,35","245,50","247,00","241,80","17,47K","0,79%"
"16.07.2024","245,40","243,35","245,85","242,20","12,56K","0,51%"
"15.07.2024","244,15","249,30","249,50","248,50","0,00K","-2,52%"
"12.07.2024","250,45","245,75","249,70","241,20","19,84K","1,50%"
"11.07.2024","246,75","247,10","247,10","247,10","0,00K","0,43%"
"10.07.2024","245,70","249,00","249,00","248,10","0,00K","-2,50%"
"09.07.2024","252,00","233,65","252,35","233,15","38,89K","6,69%"
"08.07.2024","236,20","236,70","236,70","236,70","0,00K","2,56%"
"05.07.2024","230,30","228,50","233,05","226,35","17,56K","1,93%"
"03.07.2024","225,95","228,05","228,05","228,05","0,00K","-1,37%"
"02.07.2024","229,10","231,15","233,05","230,50","0,01K","1,06%"
"01.07.2024","226,70","226,25","226,25","224,35","0,11K","-0,98%"
"28.06.2024","228,95","224,50","229,10","224,50","0,01K","0,31%"
"27.06.2024","228,25","229,35","229,35","229,35","0,00K","0,84%"
"26.06.2024","226,35","232,80","232,90","226,10","0,02K","-2,10%"
"25.06.2024","231,20","237,15","237,20","231,00","0,02K","-2,86%"
"24.06.2024","238,00","231,60","237,40","231,60","0,06K","5,05%"
"21.06.2024","226,55","229,40","232,65","226,55","0,05K","-1,61%"
"20.06.2024","230,25","228,80","236,90","228,00","0,39K","1,75%"
"18.06.2024","226,30","227,50","228,65","222,50","9,74K","-0,37%"
"17.06.2024","227,15","225,70","227,55","223,05","9,36K","1,34%"
"14.06.2024","224,15","225,50","227,35","222,95","10,93K","-0,84%"
"13.06.2024","226,05","224,35","229,30","224,10","13,55K","0,76%"
"12.06.2024","224,35","219,35","227,35","215,00","33,75K","1,72%"
"11.06.2024","220,55","221,60","224,70","218,85","30,59K","-0,38%"
"10.06.2024","221,40","225,00","226,45","219,05","33,33K","-1,51%"
"07.06.2024","224,80","233,45","234,10","223,60","49,02K","-4,01%"
"06.06.2024","234,20","232,00","239,80","231,80","30,87K","0,97%"
"05.06.2024","231,95","230,25","233,25","226,35","29,24K","-0,83%"
"04.06.2024","233,90","226,10","234,20","223,55","24,66K","3,24%"
"03.06.2024","226,55","221,15","229,30","220,90","18,58K","1,89%"
"31.05.2024","222,35","234,10","237,75","220,55","29,76K","-4,57%"
"30.05.2024","233,00","228,25","235,45","225,50","20,87K","1,55%"
"29.05.2024","229,45","229,00","236,25","228,05","25,75K","-0,65%"
"28.05.2024","230,95","220,00","233,20","219,25","29,78K","5,82%"
"24.05.2024","218,25","215,30","220,20","213,05","15,83K","1,21%"
"23.05.2024","215,65","221,00","221,80","212,05","24,02K","-2,18%"
"22.05.2024","220,45","218,65","221,15","216,65","22,05K","1,50%"
"21.05.2024","217,20","207,00","219,10","206,35","29,46K","3,77%"
"20.05.2024","209,30","205,90","207,95","203,65","19,96K","0,55%"
"17.05.2024","208,15","198,40","207,15","197,90","18,36K","4,31%"
"16.05.2024","199,55","199,40","200,35","196,75","10,99K","-0,84%"
"15.05.2024","201,25","202,30","202,30","202,30","0,00K","-0,79%"
"14.05.2024","202,85","199,25","199,25","199,00","0,00K","1,22%"
"13.05.2024","200,40","200,00","200,00","200,00","0,00K","-1,96%"
"10.05.2024","204,40","201,00","203,60","198,80","20,65K","0,34%"
"09.05.2024","203,70","202,30","205,40","202,30","0,00K","1,72%"
"08.05.2024","200,25","201,65","201,65","200,20","0,01K","0,63%"
"07.05.2024","199,00","196,60","196,60","196,60","0,00K","-0,85%"
"06.05.2024","200,70","203,00","203,00","199,45","0,01K","-2,53%"
"03.05.2024","205,90","207,75","208,95","207,50","0,07K","-1,32%"
"02.05.2024","208,65","218,00","218,00","218,00","0,01K","-4,75%"
"01.05.2024","219,05","222,40","222,40","215,70","0,01K","-0,73%"
"30.04.2024","220,65","215,60","217,75","215,60","0,02K","-5,52%"
"29.04.2024","233,55","234,00","234,00","234,00","0,02K","1,28%"
"26.04.2024","230,60","232,50","232,50","232,50","0,00K","-0,58%"
"25.04.2024","231,95","230,85","231,50","230,85","0,03K","1,53%"
"24.04.2024","228,45","229,25","229,25","226,35","0,07K","1,76%"
"23.04.2024","224,50","226,65","226,65","224,10","0,13K","-3,09%"
"22.04.2024","231,65","240,95","240,95","229,80","0,95K","-4,04%"
"19.04.2024","241,40","243,65","247,75","238,20","5,19K","0,65%"
"18.04.2024","239,85","252,10","253,70","239,50","5,47K","-3,27%"
"17.04.2024","247,95","237,40","249,30","236,40","8,75K","4,73%"
"16.04.2024","236,75","235,75","239,50","232,85","12,61K","2,25%"
"15.04.2024","231,55","221,65","235,45","219,30","15,67K","3,07%"
"12.04.2024","224,65","220,95","236,20","219,50","31,23K","1,95%"
"11.04.2024","220,35","215,30","221,80","214,10","26,11K","2,66%"
"10.04.2024","214,65","213,85","215,90","211,55","24,66K","0,52%"
"09.04.2024","213,55","209,60","214,75","209,60","40,36K","1,16%"
"08.04.2024","211,10","212,15","216,40","209,45","45,97K","-0,66%"
"05.04.2024","212,50","205,10","214,00","204,20","45,07K","2,78%"
"04.04.2024","206,75","206,30","207,95","202,50","32,10K","1,55%"
"03.04.2024","203,60","196,70","207,15","196,30","40,34K","2,96%"
"02.04.2024","197,75","190,95","198,40","190,75","39,26K","3,10%"
"01.04.2024","191,80","188,00","192,70","187,70","19,15K","1,56%"
"28.03.2024","188,85","191,05","191,20","187,55","21,24K","-0,94%"
"27.03.2024","190,65","188,05","192,50","187,15","32,26K","1,38%"
"26.03.2024","188,05","185,65","189,45","185,30","21,86K","1,29%"
"25.03.2024","185,65","185,15","186,25","183,35","19,00K","0,43%"
"22.03.2024","184,85","186,00","188,20","184,55","21,36K","-0,46%"
"21.03.2024","185,70","183,85","188,40","183,05","23,12K","1,81%"
"20.03.2024","182,40","182,65","184,40","181,65","14,72K","-0,36%"
"19.03.2024","183,05","181,25","183,35","179,35","21,06K","0,66%"
"18.03.2024","181,85","182,75","186,15","181,40","16,94K","-0,55%"
