"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2025","5,0340","5,1300","5,1460","4,9850","53,78K","-1,87%"
"28.03.2025","5,1300","5,1195","5,1675","5,0620","51,75K","0,62%"
"27.03.2025","5,0985","5,2170","5,2420","5,0830","1,77K","-2,30%"
"26.03.2025","5,2185","5,2075","5,2985","5,2040","1,05K","0,65%"
"25.03.2025","5,1850","5,0560","5,2000","5,0560","1,07K","1,82%"
"24.03.2025","5,0925","5,0965","5,1845","5,0750","49,58K","-0,41%"
"21.03.2025","5,1135","5,1105","5,1375","5,0270","42,31K","0,03%"
"20.03.2025","5,1120","5,1240","5,1485","5,0560","47,43K","0,24%"
"19.03.2025","5,1000","5,0045","5,1245","4,9965","42,35K","1,66%"
"18.03.2025","5,0165","4,9790","5,0250","4,9560","44,37K","1,16%"
"17.03.2025","4,9590","4,8845","4,9840","4,8750","34,52K","1,29%"
"14.03.2025","4,8960","4,9280","4,9575","4,8710","36,18K","-0,60%"
"13.03.2025","4,9255","4,8410","4,9345","4,7965","47,66K","1,57%"
"12.03.2025","4,8495","4,7935","4,9035","4,7750","54,55K","1,75%"
"11.03.2025","4,7660","4,6480","4,8045","4,6260","50,26K","2,13%"
"10.03.2025","4,6665","4,7140","4,7340","4,6300","35,66K","-0,92%"
"07.03.2025","4,7100","4,7755","4,7955","4,6805","54,59K","-2,03%"
"06.03.2025","4,8075","4,8040","4,8510","4,7350","54,37K","0,28%"
"05.03.2025","4,7940","4,5800","4,8250","4,5465","86,76K","5,21%"
"04.03.2025","4,5565","4,5880","4,6325","4,5185","48,37K","-1,10%"
"03.03.2025","4,6070","4,5765","4,6535","4,5365","49,07K","1,30%"
"28.02.2025","4,5480","4,5955","4,5970","4,5115","43,88K","-1,53%"
"27.02.2025","4,6185","4,5835","4,6685","4,5490","52,00K","1,25%"
"26.02.2025","4,5615","4,6535","4,7125","4,5500","1,62K","1,29%"
"25.02.2025","4,5035","4,5280","4,6790","4,4970","1,31K","-1,31%"
"24.02.2025","4,5635","4,5905","4,6270","4,5495","37,12K","-1,13%"
"21.02.2025","4,6155","4,6655","4,6690","4,5880","37,13K","-1,08%"
"20.02.2025","4,6660","4,6205","4,6900","4,5985","29,29K","1,13%"
"19.02.2025","4,6140","4,6425","4,6625","4,6020","24,43K","-0,61%"
"18.02.2025","4,6425","4,6915","4,7180","4,5945","35,14K","-0,47%"
"14.02.2025","4,6645","4,7830","4,8365","4,6365","116,10K","-2,38%"
"13.02.2025","4,7780","4,6950","4,7905","4,6835","78,51K","1,56%"
"12.02.2025","4,7045","4,5975","4,7125","4,5755","77,94K","2,25%"
"11.02.2025","4,6010","4,6935","4,7000","4,5410","103,14K","-2,25%"
"10.02.2025","4,7070","4,5980","4,7150","4,5705","107,86K","2,57%"
"07.02.2025","4,5890","4,4580","4,6080","4,4570","92,76K","2,87%"
"06.02.2025","4,4610","4,4370","4,5095","4,4110","64,52K","0,38%"
"05.02.2025","4,4440","4,3590","4,4565","4,3430","56,00K","2,08%"
"04.02.2025","4,3535","4,3320","4,3720","4,3065","44,13K","1,11%"
"03.02.2025","4,3055","4,2585","4,3375","4,1835","69,19K","0,62%"
"31.01.2025","4,2790","4,3075","4,3190","4,2570","48,63K","-0,66%"
"30.01.2025","4,3075","4,2870","4,3455","4,2610","39,23K","1,10%"
"29.01.2025","4,2605","4,2365","4,2760","4,2365","1,15K","0,85%"
"28.01.2025","4,2245","4,2470","4,2490","4,2220","0,70K","0,39%"
"27.01.2025","4,2080","4,2500","4,2550","4,2000","0,83K","-2,06%"
"24.01.2025","4,2965","4,3050","4,3600","4,2920","0,49K","-0,21%"
"23.01.2025","4,3055","4,2390","4,3065","4,2360","0,46K","0,10%"
"22.01.2025","4,3010","4,3395","4,3410","4,2815","48,40K","-0,92%"
"21.01.2025","4,3410","4,3565","4,3815","4,2700","107,04K","-0,63%"
"17.01.2025","4,3685","4,4350","4,4700","4,3445","74,08K","-1,63%"
"16.01.2025","4,4410","4,3975","4,4470","4,3850","63,44K","1,18%"
"15.01.2025","4,3890","4,3490","4,4045","4,3175","55,35K","1,07%"
"14.01.2025","4,3425","4,3265","4,3660","4,3105","51,19K","0,39%"
"13.01.2025","4,3255","4,2840","4,3435","4,2735","48,74K","0,50%"
"10.01.2025","4,3040","4,3135","4,3600","4,2820","66,26K","-0,13%"
"09.01.2025","4,3095","4,2690","4,3495","4,2570","66,13K","1,20%"
"08.01.2025","4,2585","4,1765","4,2730","4,1670","71,30K","1,50%"
"07.01.2025","4,1955","4,1520","4,2130","4,1405","58,96K","0,82%"
"06.01.2025","4,1615","4,0765","4,2005","4,0585","92,82K","2,16%"
"03.01.2025","4,0735","4,0350","4,0825","4,0090","44,29K","1,18%"
"02.01.2025","4,0260","4,0310","4,0580","4,0050","50,06K","-0,01%"
"31.12.2024","4,0265","4,0900","4,0980","4,0075","42,75K","-1,62%"
"30.12.2024","4,0930","4,1260","4,1485","4,0815","34,05K","-0,18%"
"27.12.2024","4,1005","4,1260","4,1260","4,0945","0,51K","-0,18%"
"26.12.2024","4,1080","4,0790","4,1190","4,0740","0,24K","0,46%"
"24.12.2024","4,0890","4,0935","4,0935","4,0805","0,11K","0,63%"
"23.12.2024","4,0635","4,0855","4,0985","4,0600","1,00K","-0,38%"
"20.12.2024","4,0790","4,0715","4,0760","4,0590","0,70K","0,58%"
"19.12.2024","4,0555","4,0815","4,0905","4,0500","0,28K","-1,93%"
"18.12.2024","4,1355","4,0960","4,1400","4,0675","0,09K","0,25%"
"17.12.2024","4,1250","4,1735","4,1735","4,1205","0,31K","-1,09%"
"16.12.2024","4,1705","4,1810","4,1930","4,1500","0,25K","-0,16%"
"13.12.2024","4,1770","4,2070","4,2120","4,1690","0,29K","-1,14%"
"12.12.2024","4,2250","4,2650","4,3030","4,2200","0,25K","-0,47%"
"11.12.2024","4,2450","4,2725","4,3005","4,2170","0,46K","-0,20%"
"10.12.2024","4,2535","4,2540","4,2550","4,2215","0,11K","-0,11%"
"09.12.2024","4,2580","4,1840","4,2725","4,1720","0,46K","1,90%"
"06.12.2024","4,1785","4,1775","4,2335","4,1740","0,04K","0,10%"
"05.12.2024","4,1745","4,1760","4,1970","4,1690","0,44K","-0,20%"
"04.12.2024","4,1830","4,1710","4,1920","4,1640","0,12K","-0,04%"
"03.12.2024","4,1845","4,1225","4,2010","4,1150","0,16K","1,73%"
"02.12.2024","4,1135","4,1105","4,1305","4,0675","0,35K","-0,22%"
"29.11.2024","4,1225","4,1240","4,1460","4,1195","0,17K","0,13%"
"27.11.2024","4,1170","4,1210","4,1375","4,1165","0,54K","1,03%"
"26.11.2024","4,0750","4,1000","4,1335","4,0715","3,24K","-1,13%"
"25.11.2024","4,1215","4,1300","4,1460","4,1145","1,00K","0,48%"
"22.11.2024","4,1020","4,1215","4,1320","4,0785","0,54K","-0,87%"
"21.11.2024","4,1380","4,1610","4,1735","4,1160","0,38K","-0,62%"
"20.11.2024","4,1640","4,1775","4,1840","4,1505","0,22K","0,26%"
"19.11.2024","4,1530","4,1480","4,1800","4,1100","0,46K","0,47%"
"18.11.2024","4,1335","4,0915","4,1425","4,0840","0,21K","1,41%"
"15.11.2024","4,0760","4,1055","4,1900","4,0760","0,62K","-0,71%"
"14.11.2024","4,1050","4,0920","4,1115","4,0265","1,09K","0,07%"
"13.11.2024","4,1020","4,1565","4,1735","4,0865","0,35K","-1,25%"
"12.11.2024","4,1540","4,2555","4,2555","4,1500","0,31K","-2,10%"
"11.11.2024","4,2430","4,3355","4,3355","4,2400","0,30K","-1,75%"
"08.11.2024","4,3185","4,4415","4,4445","4,3110","0,23K","-2,74%"
"07.11.2024","4,4400","4,2540","4,4535","4,2540","0,43K","4,24%"
"06.11.2024","4,2595","4,4645","4,4645","4,2400","0,46K","-4,94%"
"05.11.2024","4,4810","4,4475","4,4945","4,4475","0,24K","0,98%"
"04.11.2024","4,4375","4,4045","4,4515","4,3935","0,25K","1,27%"
"01.11.2024","4,3820","4,3820","4,4145","4,3670","0,28K","0,70%"
"31.10.2024","4,3515","4,3600","4,3875","4,3470","0,24K","-0,19%"
"30.10.2024","4,3600","4,3745","4,3850","4,3425","0,23K","-0,01%"
"29.10.2024","4,3605","4,3680","4,4300","4,3305","70,50K","-0,05%"
"28.10.2024","4,3625","4,3695","4,3845","4,3330","41,31K","-0,18%"
"25.10.2024","4,3705","4,3640","4,3890","4,3250","45,44K","0,44%"
"24.10.2024","4,3515","4,3335","4,3995","4,3225","65,85K","0,35%"
"23.10.2024","4,3365","4,3875","4,3960","4,3100","50,10K","-1,00%"
"22.10.2024","4,3805","4,3590","4,4070","4,3430","41,33K","0,48%"
"21.10.2024","4,3595","4,3895","4,4570","4,3475","57,28K","-0,57%"
"18.10.2024","4,3845","4,3335","4,4130","4,3260","46,73K","1,38%"
"17.10.2024","4,3250","4,3705","4,4135","4,2915","58,52K","-0,97%"
"16.10.2024","4,3675","4,3415","4,3950","4,3295","44,70K","0,69%"
"15.10.2024","4,3375","4,4035","4,4115","4,3295","58,64K","-1,55%"
"14.10.2024","4,4060","4,4520","4,4710","4,3850","68,15K","-1,95%"
"11.10.2024","4,4935","4,4475","4,4990","4,4180","53,34K","1,49%"
"10.10.2024","4,4275","4,4140","4,4540","4,3810","61,82K","0,64%"
"09.10.2024","4,3995","4,4740","4,5045","4,3735","63,95K","-1,28%"
"08.10.2024","4,4565","4,5595","4,5810","4,4235","89,11K","-2,41%"
"07.10.2024","4,5665","4,5730","4,6090","4,5150","56,02K","-0,16%"
"04.10.2024","4,5740","4,5495","4,6065","4,5360","57,82K","0,46%"
"03.10.2024","4,5530","4,6645","4,6665","4,5190","62,12K","-2,06%"
"02.10.2024","4,6490","4,5735","4,6670","4,5565","49,13K","1,31%"
"01.10.2024","4,5890","4,5525","4,6250","4,5325","61,24K","0,79%"
"30.09.2024","4,5530","4,6490","4,7900","4,4970","104,13K","-1,01%"
"27.09.2024","4,5995","4,6475","4,6590","4,5765","78,15K","-0,23%"
"26.09.2024","4,6100","4,4595","4,6210","4,4490","1,49K","3,35%"
"25.09.2024","4,4605","4,4995","4,5210","4,4270","1,36K","-0,03%"
"24.09.2024","4,4620","4,3175","4,5020","4,3175","1,80K","3,30%"
"23.09.2024","4,3195","4,2970","4,3345","4,2575","1,61K","0,08%"
"20.09.2024","4,3160","4,3310","4,3575","4,3010","0,51K","-0,12%"
"19.09.2024","4,3210","4,2280","4,3485","4,2200","0,69K","1,12%"
"18.09.2024","4,2730","4,2250","4,3055","4,2230","1,22K","0,55%"
"17.09.2024","4,2495","4,2485","4,2805","4,2330","0,44K","-0,02%"
"16.09.2024","4,2505","4,1980","4,2930","4,1840","0,53K","0,89%"
"13.09.2024","4,2130","4,1975","4,2190","4,1730","0,14K","0,98%"
"12.09.2024","4,1720","4,1450","4,2060","4,1450","0,79K","1,26%"
"11.09.2024","4,1200","4,0990","4,1480","4,0915","0,24K","1,07%"
"10.09.2024","4,0765","4,1070","4,1340","4,0650","0,49K","-1,13%"
"09.09.2024","4,1230","4,0515","4,1325","4,0490","0,21K","1,74%"
"06.09.2024","4,0525","4,1105","4,1390","4,0470","0,16K","-1,53%"
"05.09.2024","4,1155","4,0635","4,1430","4,0275","0,34K","1,42%"
"04.09.2024","4,0580","4,0630","4,0945","4,0275","0,46K","-0,33%"
"03.09.2024","4,0715","4,1735","4,1735","4,0375","0,43K","-2,68%"
"02.09.2024","4,1837","4,2190","4,2218","4,1632","","-0,83%"
"01.09.2024","4,2188","4,2185","4,2272","4,2127","","0,71%"
"30.08.2024","4,1890","4,1870","4,2500","4,1870","0,17K","-0,23%"
"29.08.2024","4,1985","4,2000","4,2225","4,1720","0,52K","0,62%"
"28.08.2024","4,1725","4,2475","4,2505","4,1615","1,55K","-2,00%"
"27.08.2024","4,2575","4,2200","4,2680","4,2200","1,44K","0,53%"
"26.08.2024","4,2350","4,2120","4,2520","4,2120","2,14K","0,57%"
"23.08.2024","4,2110","4,1480","4,2200","4,1475","0,47K","1,36%"
"22.08.2024","4,1545","4,2165","4,2205","4,1400","0,40K","-1,01%"
"21.08.2024","4,1970","4,1630","4,2095","4,1630","0,32K","0,70%"
"20.08.2024","4,1680","4,1980","4,2105","4,1550","0,52K","-0,49%"
"19.08.2024","4,1885","4,1660","4,2010","4,1615","0,45K","0,95%"
"16.08.2024","4,1490","4,1350","4,1630","4,0995","0,80K","-0,10%"
"15.08.2024","4,1530","4,0520","4,1605","4,0520","1,07K","2,64%"
"14.08.2024","4,0460","4,0530","4,0885","4,0380","0,59K","-0,25%"
"13.08.2024","4,0560","4,0795","4,0795","4,0240","0,21K","-0,47%"
"12.08.2024","4,0750","4,0055","4,0850","4,0040","0,10K","1,82%"
"09.08.2024","4,0020","4,0215","4,0390","3,9930","0,34K","0,81%"
"08.08.2024","3,9700","3,9500","3,9930","3,9500","0,69K","0,16%"
"07.08.2024","3,9635","4,0050","4,0230","3,9550","0,37K","-1,80%"
"06.08.2024","4,0360","4,0415","4,0460","3,9780","0,37K","0,64%"
"05.08.2024","4,0105","4,1315","4,1355","3,9570","0,13K","-2,54%"
"02.08.2024","4,1150","4,0810","4,1430","4,0725","0,18K","0,49%"
"01.08.2024","4,0950","4,2035","4,2035","4,0780","0,53K","-2,21%"
"31.07.2024","4,1875","4,1490","4,2210","4,1490","0,15K","2,18%"
"30.07.2024","4,0980","4,1070","4,1120","4,0600","0,16K","0,33%"
"29.07.2024","4,0845","4,1115","4,1500","4,0610","51,25K","-0,96%"
"26.07.2024","4,1240","4,1165","4,1560","4,1000","52,56K","-0,04%"
"25.07.2024","4,1255","4,0820","4,1560","4,0360","76,85K","0,40%"
"24.07.2024","4,1090","4,1660","4,1780","4,0760","84,44K","-1,24%"
"23.07.2024","4,1605","4,1945","4,2140","4,1355","56,02K","-0,88%"
"22.07.2024","4,1975","4,2360","4,2615","4,1620","72,58K","-0,92%"
"19.07.2024","4,2365","4,2620","4,2910","4,2280","60,98K","-1,00%"
"18.07.2024","4,2795","4,4150","4,4280","4,2525","91,54K","-2,93%"
"17.07.2024","4,4085","4,4570","4,4835","4,4010","60,75K","-0,92%"
"16.07.2024","4,4495","4,5120","4,5250","4,4285","60,39K","-1,70%"
"15.07.2024","4,5265","4,5815","4,6025","4,5015","56,40K","-1,45%"
"12.07.2024","4,5930","4,5275","4,6015","4,4760","62,44K","1,92%"
"11.07.2024","4,5065","4,5940","4,6255","4,5025","77,71K","-2,21%"
"10.07.2024","4,6085","4,5830","4,6570","4,5475","61,07K","0,68%"
"09.07.2024","4,5775","4,6065","4,6515","4,5510","59,97K","-0,88%"
"08.07.2024","4,6180","4,6710","4,6710","4,5885","72,15K","-0,73%"
"05.07.2024","4,6520","4,5260","4,6995","4,5130","125,28K","2,00%"
"04.07.2024","4,5610","4,5320","4,5853","4,5137","","0,61%"
"03.07.2024","4,5335","4,4275","4,5625","4,4135","63,12K","2,59%"
"02.07.2024","4,4190","4,4165","4,4720","4,3910","51,69K","0,02%"
"01.07.2024","4,4180","4,3760","4,4380","4,3525","47,46K","0,60%"
"28.06.2024","4,3915","4,3355","4,4280","4,3315","51,67K","0,99%"
"27.06.2024","4,3485","4,3735","4,3935","4,3290","50,88K","-0,34%"
"26.06.2024","4,3635","4,3670","4,3945","4,3355","1,22K","-0,05%"
"25.06.2024","4,3655","4,4155","4,4505","4,3530","0,33K","-1,34%"
"24.06.2024","4,4250","4,4070","4,4465","4,3970","0,64K","-0,03%"
"21.06.2024","4,4265","4,5255","4,5290","4,4190","0,50K","-2,09%"
"20.06.2024","4,5210","4,4610","4,5305","4,4435","1,05K","0,42%"
"19.06.2024","4,5023","4,4908","4,5693","4,4750","","1,24%"
"18.06.2024","4,4470","4,4445","4,4580","4,3640","0,69K","0,44%"
"17.06.2024","4,4275","4,4780","4,4780","4,3885","0,36K","-0,96%"
"14.06.2024","4,4705","4,4855","4,4960","4,4460","0,26K","-0,03%"
"13.06.2024","4,4720","4,5155","4,5450","4,4530","0,36K","-1,82%"
"12.06.2024","4,5550","4,5025","4,5950","4,4940","0,25K","1,37%"
"11.06.2024","4,4935","4,5400","4,5510","4,4345","0,69K","-1,01%"
"10.06.2024","4,5395","4,4470","4,5475","4,4470","1,47K","1,40%"
"07.06.2024","4,4770","4,6595","4,6600","4,4520","0,30K","-4,07%"
