"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.03.2025","34,752","35,010","35,340","34,450","0,00K","-0,66%"
"28.03.2025","34,983","35,515","35,640","34,820","0,18K","-0,29%"
"27.03.2025","35,083","34,210","35,405","34,125","79,60K","2,52%"
"26.03.2025","34,222","34,255","34,500","34,065","44,01K","0,10%"
"25.03.2025","34,187","33,530","34,365","33,430","46,64K","2,20%"
"24.03.2025","33,450","33,540","33,805","33,380","32,35K","-0,11%"
"21.03.2025","33,486","34,115","34,135","33,165","53,51K","-1,49%"
"20.03.2025","33,991","34,425","34,595","33,615","50,53K","-0,63%"
"19.03.2025","34,205","34,640","34,790","34,110","50,63K","-1,76%"
"18.03.2025","34,818","34,380","35,000","34,325","57,45K","1,49%"
"17.03.2025","34,308","34,410","34,455","33,955","45,45K","-0,36%"
"14.03.2025","34,433","34,505","34,860","34,140","60,18K","0,37%"
"13.03.2025","34,306","33,725","34,680","33,435","74,49K","1,67%"
"12.03.2025","33,743","33,375","33,815","33,180","57,66K","1,80%"
"11.03.2025","33,147","32,460","33,445","32,215","57,93K","1,90%"
"10.03.2025","32,530","32,945","33,150","32,280","51,81K","-0,85%"
"07.03.2025","32,809","33,210","33,310","32,560","59,37K","-1,59%"
"06.03.2025","33,338","33,235","33,380","32,860","51,41K","0,62%"
"05.03.2025","33,134","32,560","33,310","32,395","65,24K","2,33%"
"04.03.2025","32,381","32,265","32,660","32,030","50,89K","0,22%"
"03.03.2025","32,310","31,715","32,490","31,635","62,26K","2,58%"
"28.02.2025","31,496","31,855","31,930","31,365","54,60K","-1,91%"
"27.02.2025","32,110","32,535","32,595","31,765","63,24K","-0,95%"
"26.02.2025","32,419","32,270","32,435","31,945","1,93K","1,39%"
"25.02.2025","31,976","32,890","32,935","31,770","1,08K","-2,40%"
"24.02.2025","32,763","33,045","33,270","32,600","0,76K","-0,75%"
"21.02.2025","33,012","33,450","33,540","32,810","63,37K","-1,42%"
