Fecha,Último_oro,Apertura_oro,Máximo_oro,Mínimo_oro,% var._oro,Último_platino,Apertura_platino,Máximo_platino,Mínimo_platino,% var._platino,Último_plata,Apertura_plata,Máximo_plata,Mínimo_plata,% var._plata,Último_petroleo,Apertura_petroleo,Máximo_petroleo,Mínimo_petroleo,% var._petroleo,Último_plomo,Apertura_plomo,Máximo_plomo,Mínimo_plomo,% var._plomo,Último_cacao,Apertura_cacao,Máximo_cacao,Mínimo_cacao,% var._cacao,Último_cafe,Apertura_cafe,Máximo_cafe,Mínimo_cafe,% var._cafe,Último_paladio,Apertura_paladio,Máximo_paladio,Mínimo_paladio,% var._paladio,Último_gas_natural,Apertura_gas_natural,Máximo_gas_natural,Mínimo_gas_natural,% var._gas_natural,Último_cobre,Apertura_cobre,Máximo_cobre,Mínimo_cobre,% var._cobre,Dia_semana
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,830.0,840.0,846.0,820.0,"-0,84%",116.5,122.25,124.0,116.1,"-7,47%",,,,,,,,,,,,,,,,Monday
2000-01-04,283.7,289.5,289.5,280.0,"-2,04%",,,,,,5.375,5.42,5.42,5.32,"-1,43%",25.55,25.2,25.69,24.71,"-0,20%",,,,,,836.0,828.0,841.0,823.0,"0,72%",116.25,116.25,120.5,115.75,"-0,21%",,,,,,2.176,2.13,2.2,2.13,"-6,57%",0.848,0.8615,0.862,0.845,"-1,74%",Tuesday
2000-01-05,282.1,283.7,285.0,281.0,"-0,56%",,,,,,5.21,5.375,5.38,5.16,"-3,07%",24.91,25.5,25.61,24.87,"-2,50%",,,,,,831.0,840.0,850.0,828.0,"-0,60%",118.6,115.0,121.0,115.0,"2,02%",,,,,,2.168,2.18,2.2,2.125,"-0,37%",0.8565,0.845,0.859,0.838,"1,00%",Wednesday
2000-01-06,282.4,281.6,282.8,280.2,"0,11%",,,,,,5.167,5.205,5.215,5.15,"-0,83%",24.78,24.8,25.34,24.51,"-0,52%",,,,,,841.0,825.0,847.0,824.0,"1,20%",116.85,119.0,121.4,116.5,"-1,48%",,,,,,2.196,2.165,2.22,2.135,"1,29%",0.853,0.856,0.8565,0.848,"-0,41%",Thursday
2000-01-07,282.9,282.5,284.5,282.0,"0,18%",,,,,,5.195,5.17,5.215,5.15,"0,54%",24.22,24.65,25.0,24.15,"-2,26%",,,,,,853.0,846.0,855.0,836.0,"1,43%",114.15,117.25,117.75,113.8,"-2,31%",,,,,,2.173,2.195,2.23,2.155,"-1,05%",0.854,0.853,0.8625,0.8495,"0,12%",Friday
2000-01-10,282.7,282.4,283.9,281.8,"-0,07%",,,,,,5.19,5.19,5.23,5.17,"-0,10%",24.67,24.22,24.75,24.02,"1,86%",,,,,,839.0,845.0,855.0,837.0,"-1,64%",117.55,123.5,126.0,116.7,"2,98%",,,,,,2.216,2.18,2.255,2.165,"1,98%",0.8465,0.853,0.8545,0.84,"-0,88%",Monday
2000-01-11,284.4,282.4,285.3,281.9,"0,60%",,,,,,5.195,5.19,5.22,5.19,"0,10%",25.77,24.71,25.8,24.67,"4,46%",,,,,,846.0,837.0,853.0,836.0,"0,83%",117.8,115.5,118.25,115.5,"0,21%",,,,,,2.26,2.211,2.265,2.205,"1,99%",0.8435,0.8455,0.851,0.842,"-0,35%",Tuesday
2000-01-12,283.7,284.5,285.0,282.5,"-0,25%",,,,,,5.143,5.205,5.225,5.125,"-1,00%",26.28,25.73,26.55,25.38,"1,98%",,,,,,854.0,847.0,855.0,843.0,"0,95%",118.95,117.8,120.5,116.9,"0,98%",,,,,,2.244,2.267,2.285,2.19,"-0,71%",0.866,0.844,0.8695,0.843,"2,67%",Wednesday
2000-01-13,285.1,283.5,285.9,282.9,"0,49%",,,,,,5.153,5.14,5.175,5.125,"0,19%",26.69,26.28,27.12,26.2,"1,56%",,,,,,871.0,850.0,875.0,845.0,"1,99%",118.55,119.25,120.0,117.5,"-0,34%",,,,,,2.252,2.245,2.29,2.235,"0,36%",0.8565,0.865,0.867,0.855,"-1,10%",Thursday
2000-01-14,284.9,285.2,285.6,284.0,"-0,07%",,,,,,5.15,5.16,5.18,5.13,"-0,06%",28.02,26.8,28.1,26.61,"4,98%",,,,,,850.0,868.0,872.0,847.0,"-2,41%",112.55,117.75,120.25,112.25,"-5,06%",,,,,,2.322,2.26,2.35,2.25,"3,11%",0.8625,0.858,0.863,0.855,"0,70%",Friday
