Fecha,Último_cacao,Apertura_cacao,Máximo_cacao,Mínimo_cacao,% var._cacao,Materia
2000-01-04,836.0,828.0,841.0,823.0,0.72,cacao
2000-01-05,831.0,840.0,850.0,828.0,-0.6,cacao
2000-01-06,841.0,825.0,847.0,824.0,1.2,cacao
2000-01-07,853.0,846.0,855.0,836.0,1.43,cacao
2000-01-10,839.0,845.0,855.0,837.0,-1.64,cacao
2000-01-11,846.0,837.0,853.0,836.0,0.83,cacao
2000-01-12,854.0,847.0,855.0,843.0,0.95,cacao
2000-01-13,871.0,850.0,875.0,845.0,1.99,cacao
2000-01-14,850.0,868.0,872.0,847.0,-2.41,cacao
2000-01-18,828.0,825.0,837.0,825.0,-2.59,cacao
2000-01-19,844.0,815.0,845.0,815.0,1.93,cacao
2000-01-20,853.0,841.0,859.0,840.0,1.07,cacao
2000-01-21,861.0,860.0,865.0,848.0,0.94,cacao
2000-01-24,844.0,855.0,866.0,842.0,-1.97,cacao
2000-01-25,838.0,840.0,846.0,835.0,-0.71,cacao
2000-01-26,846.0,831.0,854.0,831.0,0.95,cacao
2000-01-27,823.0,846.0,852.0,820.0,-2.72,cacao
2000-01-28,811.0,825.0,836.0,805.0,-1.46,cacao
2000-01-31,795.0,805.0,812.0,794.0,-1.97,cacao
2000-02-01,763.0,779.0,793.0,757.0,-4.03,cacao
2000-02-02,766.0,775.0,779.0,763.0,0.39,cacao
2000-02-03,774.0,770.0,778.0,765.0,1.04,cacao
2000-02-04,765.0,770.0,774.0,751.0,-1.16,cacao
2000-02-07,783.0,765.0,785.0,761.0,2.35,cacao
2000-02-08,767.0,778.0,788.0,761.0,-2.04,cacao
2000-02-09,784.0,767.0,785.0,767.0,2.22,cacao
2000-02-10,776.0,774.0,782.0,774.0,-1.02,cacao
2000-02-11,759.0,767.0,775.0,750.0,-2.19,cacao
2000-02-14,740.0,752.0,764.0,735.0,-2.5,cacao
2000-02-15,748.0,742.0,760.0,742.0,1.08,cacao
2000-02-16,764.0,755.0,770.0,751.0,2.14,cacao
2000-02-17,781.0,764.0,784.0,764.0,2.23,cacao
2000-02-18,780.0,788.0,790.0,773.0,-0.13,cacao
2000-02-22,760.0,770.0,778.0,760.0,-2.56,cacao
2000-02-23,769.0,763.0,772.0,763.0,1.18,cacao
2000-02-24,767.0,780.0,805.0,760.0,-0.26,cacao
2000-02-25,734.0,761.0,767.0,737.0,-4.3,cacao
2000-02-28,740.0,735.0,748.0,732.0,0.82,cacao
2000-02-29,753.0,730.0,754.0,730.0,1.76,cacao
2000-03-01,759.0,755.0,759.0,745.0,0.8,cacao
2000-03-02,791.0,759.0,780.0,770.0,4.22,cacao
2000-03-03,805.0,800.0,814.0,800.0,1.77,cacao
2000-03-06,802.0,825.0,805.0,775.0,-0.37,cacao
2000-03-07,819.0,815.0,829.0,810.0,2.12,cacao
2000-03-08,829.0,820.0,829.0,802.0,1.22,cacao
2000-03-09,819.0,810.0,868.0,815.0,-1.21,cacao
2000-03-10,840.0,835.0,845.0,808.0,2.56,cacao
2000-03-13,860.0,845.0,860.0,800.0,2.38,cacao
2000-03-14,880.0,840.0,880.0,842.0,2.33,cacao
2000-03-15,846.0,825.0,893.0,825.0,-3.86,cacao
2000-03-16,878.0,910.0,910.0,862.0,3.78,cacao
2000-03-17,898.0,917.0,929.0,893.0,2.28,cacao
2000-03-20,857.0,885.0,891.0,851.0,-4.57,cacao
2000-03-21,868.0,861.0,870.0,845.0,1.28,cacao
2000-03-22,871.0,862.0,875.0,856.0,0.35,cacao
2000-03-23,876.0,865.0,883.0,860.0,0.57,cacao
2000-03-24,840.0,862.0,866.0,828.0,-4.11,cacao
2000-03-27,797.0,836.0,840.0,792.0,-5.12,cacao
2000-03-28,815.0,788.0,819.0,786.0,2.26,cacao
2000-03-29,796.0,820.0,833.0,792.0,-2.33,cacao
2000-03-30,794.0,794.0,807.0,790.0,-0.25,cacao
2000-03-31,800.0,800.0,811.0,794.0,0.76,cacao
2000-04-03,784.0,783.0,804.0,783.0,-2.0,cacao
2000-04-04,809.0,785.0,814.0,785.0,3.19,cacao
2000-04-05,811.0,817.0,819.0,806.0,0.25,cacao
2000-04-06,825.0,818.0,838.0,818.0,1.73,cacao
2000-04-07,810.0,812.0,820.0,806.0,-1.82,cacao
2000-04-10,807.0,805.0,810.0,793.0,-0.37,cacao
2000-04-11,803.0,808.0,819.0,801.0,-0.5,cacao
2000-04-12,802.0,793.0,809.0,793.0,-0.12,cacao
2000-04-13,815.0,795.0,822.0,795.0,1.62,cacao
2000-04-14,807.0,815.0,824.0,799.0,-0.98,cacao
2000-04-17,824.0,800.0,830.0,797.0,2.11,cacao
2000-04-18,837.0,835.0,850.0,830.0,1.58,cacao
2000-04-19,813.0,832.0,846.0,805.0,-2.87,cacao
2000-04-20,803.0,813.0,815.0,794.0,-1.23,cacao
2000-04-24,764.0,785.0,804.0,760.0,-4.86,cacao
2000-04-25,769.0,763.0,775.0,763.0,0.65,cacao
2000-04-26,765.0,765.0,780.0,765.0,-0.52,cacao
2000-04-27,755.0,753.0,768.0,753.0,-1.31,cacao
2000-04-28,747.0,750.0,763.0,750.0,-1.06,cacao
2000-05-01,764.0,752.0,767.0,740.0,2.28,cacao
2000-05-02,763.0,765.0,784.0,756.0,-0.13,cacao
2000-05-03,772.0,755.0,755.0,755.0,1.18,cacao
2000-05-04,772.0,750.0,781.0,767.0,0.0,cacao
2000-05-05,771.0,760.0,773.0,772.0,-0.13,cacao
2000-05-08,748.0,775.0,775.0,743.0,-2.98,cacao
2000-05-09,769.0,748.0,769.0,751.0,2.81,cacao
2000-05-10,765.0,772.0,772.0,771.0,-0.52,cacao
2000-05-11,796.0,766.0,800.0,797.0,4.05,cacao
2000-05-12,778.0,785.0,778.0,778.0,-2.26,cacao
2000-05-15,783.0,781.0,795.0,781.0,0.64,cacao
2000-05-16,837.0,810.0,840.0,810.0,6.9,cacao
2000-05-17,821.0,838.0,840.0,812.0,-1.91,cacao
2000-05-18,829.0,812.0,833.0,812.0,0.97,cacao
2000-05-19,857.0,842.0,865.0,842.0,3.38,cacao
2000-05-22,840.0,848.0,859.0,837.0,-1.98,cacao
2000-05-23,834.0,835.0,848.0,833.0,-0.71,cacao
2000-05-24,850.0,835.0,859.0,832.0,1.92,cacao
2000-05-25,831.0,866.0,874.0,826.0,-2.24,cacao
2000-05-26,835.0,835.0,843.0,821.0,0.48,cacao
2000-05-30,830.0,831.0,842.0,828.0,-0.6,cacao
2000-05-31,842.0,837.0,844.0,829.0,1.45,cacao
2000-06-01,848.0,839.0,850.0,839.0,0.71,cacao
2000-06-02,848.0,854.0,858.0,843.0,0.0,cacao
2000-06-05,831.0,842.0,845.0,828.0,-2.0,cacao
2000-06-06,832.0,833.0,840.0,828.0,0.12,cacao
2000-06-07,817.0,820.0,827.0,806.0,-1.8,cacao
2000-06-08,869.0,822.0,872.0,815.0,6.36,cacao
2000-06-09,849.0,864.0,885.0,846.0,-2.3,cacao
2000-06-12,850.0,844.0,854.0,838.0,0.12,cacao
2000-06-13,846.0,855.0,866.0,845.0,-0.47,cacao
2000-06-14,849.0,848.0,855.0,845.0,0.35,cacao
2000-06-15,849.0,843.0,860.0,843.0,0.0,cacao
2000-06-16,849.0,852.0,858.0,847.0,0.0,cacao
2000-06-19,837.0,850.0,853.0,832.0,-1.41,cacao
2000-06-20,834.0,832.0,837.0,810.0,-0.36,cacao
2000-06-21,855.0,834.0,852.0,834.0,2.52,cacao
2000-06-22,903.0,860.0,905.0,857.0,5.61,cacao
2000-06-23,825.0,895.0,895.0,825.0,-8.64,cacao
2000-06-26,800.0,821.0,828.0,791.0,-3.03,cacao
2000-06-27,808.0,805.0,818.0,805.0,1.0,cacao
2000-06-28,812.0,818.0,819.0,808.0,0.5,cacao
2000-06-29,813.0,815.0,815.0,809.0,0.12,cacao
2000-06-30,820.0,805.0,826.0,805.0,0.86,cacao
2000-07-05,819.0,812.0,847.0,808.0,-0.12,cacao
2000-07-06,812.0,821.0,821.0,803.0,-0.85,cacao
2000-07-07,826.0,803.0,830.0,814.0,1.72,cacao
2000-07-10,823.0,800.0,823.0,823.0,-0.36,cacao
2000-07-11,830.0,810.0,828.0,826.0,0.85,cacao
2000-07-12,813.0,820.0,823.0,814.0,-2.05,cacao
2000-07-13,831.0,807.0,831.0,816.0,2.21,cacao
2000-07-14,816.0,800.0,820.0,819.0,-1.81,cacao
2000-07-17,841.0,828.0,844.0,828.0,3.06,cacao
2000-07-18,849.0,840.0,853.0,838.0,0.95,cacao
2000-07-19,856.0,845.0,858.0,840.0,0.82,cacao
2000-07-20,886.0,855.0,898.0,854.0,3.5,cacao
2000-07-21,887.0,882.0,891.0,872.0,0.11,cacao
2000-07-24,840.0,873.0,875.0,838.0,-5.3,cacao
2000-07-25,851.0,847.0,855.0,832.0,1.31,cacao
2000-07-26,847.0,845.0,854.0,841.0,-0.47,cacao
2000-07-27,843.0,850.0,851.0,839.0,-0.47,cacao
2000-07-28,843.0,840.0,845.0,837.0,0.0,cacao
2000-07-31,825.0,832.0,840.0,822.0,-2.14,cacao
2000-08-01,821.0,805.0,826.0,805.0,-0.48,cacao
2000-08-02,824.0,812.0,829.0,812.0,0.37,cacao
2000-08-03,798.0,817.0,820.0,786.0,-3.16,cacao
2000-08-04,777.0,791.0,798.0,767.0,-2.63,cacao
2000-08-07,762.0,768.0,784.0,760.0,-1.93,cacao
2000-08-08,773.0,765.0,778.0,765.0,1.44,cacao
2000-08-09,750.0,773.0,775.0,747.0,-2.98,cacao
2000-08-10,769.0,755.0,772.0,755.0,2.53,cacao
2000-08-11,769.0,779.0,780.0,767.0,0.0,cacao
2000-08-14,770.0,767.0,774.0,764.0,0.13,cacao
2000-08-15,769.0,767.0,776.0,767.0,-0.13,cacao
2000-08-16,762.0,764.0,768.0,757.0,-0.91,cacao
2000-08-17,751.0,765.0,774.0,750.0,-1.44,cacao
2000-08-18,750.0,756.0,760.0,749.0,-0.13,cacao
2000-08-21,754.0,749.0,766.0,748.0,0.53,cacao
2000-08-22,751.0,750.0,766.0,750.0,-0.4,cacao
2000-08-23,740.0,759.0,759.0,735.0,-1.46,cacao
2000-08-24,750.0,747.0,770.0,747.0,1.35,cacao
2000-08-25,744.0,730.0,752.0,735.0,-0.8,cacao
2000-08-28,749.0,730.0,750.0,745.0,0.67,cacao
2000-08-29,744.0,737.0,750.0,737.0,-0.67,cacao
2000-08-30,760.0,743.0,743.0,738.0,2.15,cacao
2000-08-31,745.0,760.0,760.0,750.0,-1.97,cacao
2000-09-01,757.0,725.0,750.0,748.0,1.61,cacao
2000-09-05,775.0,778.0,790.0,773.0,2.38,cacao
2000-09-06,780.0,770.0,780.0,770.0,0.65,cacao
2000-09-07,761.0,760.0,759.0,759.0,-2.44,cacao
2000-09-08,778.0,760.0,763.0,760.0,2.23,cacao
2000-09-11,767.0,765.0,767.0,767.0,-1.41,cacao
2000-09-12,778.0,773.0,778.0,773.0,1.43,cacao
2000-09-13,798.0,760.0,796.0,793.0,2.57,cacao
2000-09-14,775.0,750.0,775.0,775.0,-2.88,cacao
2000-09-15,814.0,813.0,818.0,805.0,5.03,cacao
2000-09-18,809.0,824.0,826.0,808.0,-0.61,cacao
2000-09-19,803.0,809.0,812.0,801.0,-0.74,cacao
2000-09-20,788.0,803.0,813.0,787.0,-1.87,cacao
2000-09-21,803.0,793.0,804.0,789.0,1.9,cacao
2000-09-22,812.0,813.0,816.0,798.0,1.12,cacao
2000-09-25,782.0,808.0,813.0,780.0,-3.69,cacao
2000-09-26,792.0,785.0,795.0,785.0,1.28,cacao
2000-09-27,783.0,792.0,797.0,777.0,-1.14,cacao
2000-09-28,794.0,787.0,795.0,787.0,1.4,cacao
2000-09-29,797.0,787.0,807.0,781.0,0.38,cacao
2000-10-02,789.0,788.0,796.0,786.0,-1.0,cacao
2000-10-03,807.0,782.0,809.0,782.0,2.28,cacao
2000-10-04,828.0,803.0,829.0,800.0,2.6,cacao
2000-10-05,835.0,826.0,846.0,820.0,0.85,cacao
2000-10-06,830.0,828.0,833.0,819.0,-0.6,cacao
2000-10-09,816.0,822.0,825.0,815.0,-1.69,cacao
2000-10-10,833.0,818.0,839.0,815.0,2.08,cacao
2000-10-11,827.0,831.0,835.0,818.0,-0.72,cacao
2000-10-12,819.0,813.0,829.0,813.0,-0.97,cacao
2000-10-13,813.0,814.0,831.0,810.0,-0.73,cacao
2000-10-16,806.0,808.0,817.0,804.0,-0.86,cacao
2000-10-17,822.0,804.0,825.0,803.0,1.99,cacao
2000-10-18,816.0,817.0,822.0,813.0,-0.73,cacao
2000-10-19,814.0,817.0,819.0,811.0,-0.25,cacao
2000-10-20,788.0,807.0,810.0,785.0,-3.19,cacao
2000-10-23,784.0,791.0,797.0,778.0,-0.51,cacao
2000-10-24,809.0,785.0,815.0,783.0,3.19,cacao
2000-10-25,775.0,795.0,802.0,773.0,-4.2,cacao
2000-10-26,787.0,788.0,795.0,780.0,1.55,cacao
2000-10-27,762.0,775.0,779.0,761.0,-3.18,cacao
2000-10-30,757.0,771.0,773.0,755.0,-0.66,cacao
2000-10-31,755.0,757.0,764.0,752.0,-0.26,cacao
2000-11-01,753.0,752.0,762.0,750.0,-0.26,cacao
2000-11-02,764.0,755.0,766.0,755.0,1.46,cacao
2000-11-03,749.0,764.0,764.0,747.0,-1.96,cacao
2000-11-06,743.0,750.0,758.0,740.0,-0.8,cacao
2000-11-07,746.0,739.0,748.0,739.0,0.4,cacao
2000-11-08,734.0,744.0,749.0,733.0,-1.61,cacao
2000-11-09,738.0,736.0,741.0,735.0,0.54,cacao
2000-11-10,730.0,736.0,740.0,729.0,-1.08,cacao
2000-11-13,709.0,725.0,729.0,707.0,-2.88,cacao
2000-11-14,694.0,704.0,715.0,691.0,-2.12,cacao
2000-11-15,700.0,693.0,712.0,693.0,0.86,cacao
2000-11-16,700.0,700.0,706.0,700.0,0.0,cacao
2000-11-17,700.0,700.0,710.0,700.0,0.0,cacao
2000-11-20,696.0,700.0,705.0,698.0,-0.57,cacao
2000-11-21,700.0,695.0,700.0,693.0,0.57,cacao
2000-11-22,690.0,698.0,698.0,690.0,-1.43,cacao
2000-11-27,682.0,685.0,691.0,680.0,-1.16,cacao
2000-11-28,699.0,684.0,700.0,684.0,2.49,cacao
2000-11-29,702.0,710.0,710.0,693.0,0.43,cacao
2000-11-30,704.0,712.0,715.0,709.0,0.28,cacao
2000-12-01,703.0,695.0,715.0,710.0,-0.14,cacao
2000-12-04,716.0,680.0,723.0,711.0,1.85,cacao
2000-12-05,708.0,705.0,725.0,710.0,-1.12,cacao
2000-12-06,696.0,705.0,710.0,697.0,-1.69,cacao
2000-12-07,707.0,698.0,710.0,697.0,1.58,cacao
2000-12-08,708.0,702.0,702.0,701.0,0.14,cacao
2000-12-11,696.0,700.0,709.0,700.0,-1.69,cacao
2000-12-12,674.0,675.0,697.0,674.0,-3.16,cacao
2000-12-13,692.0,650.0,702.0,702.0,2.67,cacao
2000-12-14,729.0,731.0,741.0,726.0,5.35,cacao
2000-12-15,733.0,735.0,747.0,729.0,0.55,cacao
2000-12-18,729.0,733.0,734.0,725.0,-0.55,cacao
2000-12-19,721.0,727.0,728.0,718.0,-1.1,cacao
2000-12-20,745.0,731.0,747.0,731.0,3.33,cacao
2000-12-21,769.0,765.0,770.0,754.0,3.22,cacao
2000-12-22,765.0,768.0,771.0,755.0,-0.52,cacao
2000-12-26,769.0,770.0,772.0,758.0,0.52,cacao
2000-12-27,775.0,770.0,780.0,761.0,0.78,cacao
2000-12-28,766.0,768.0,775.0,764.0,-1.16,cacao
2000-12-29,758.0,765.0,767.0,757.0,-1.04,cacao
2001-01-02,778.0,768.0,785.0,766.0,2.64,cacao
2001-01-03,753.0,783.0,785.0,752.0,-3.21,cacao
2001-01-04,768.0,760.0,777.0,759.0,1.99,cacao
2001-01-05,813.0,790.0,817.0,786.0,5.86,cacao
2001-01-08,813.0,815.0,824.0,806.0,0.0,cacao
2001-01-09,798.0,809.0,819.0,796.0,-1.85,cacao
