Fecha,Último_cafe,Apertura_cafe,Máximo_cafe,Mínimo_cafe,% var._cafe,Materia
2000-01-04,116.25,116.25,120.5,115.75,-0.21,cafe
2000-01-05,118.6,115.0,121.0,115.0,2.02,cafe
2000-01-06,116.85,119.0,121.4,116.5,-1.48,cafe
2000-01-07,114.15,117.25,117.75,113.8,-2.31,cafe
2000-01-10,117.55,123.5,126.0,116.7,2.98,cafe
2000-01-11,117.8,115.5,118.25,115.5,0.21,cafe
2000-01-12,118.95,117.8,120.5,116.9,0.98,cafe
2000-01-13,118.55,119.25,120.0,117.5,-0.34,cafe
2000-01-14,112.55,117.75,120.25,112.25,-5.06,cafe
2000-01-18,115.75,111.75,118.25,110.6,2.84,cafe
2000-01-19,116.7,116.5,118.25,114.75,0.82,cafe
2000-01-20,112.0,118.25,118.8,111.7,-4.03,cafe
2000-01-21,111.2,112.0,113.5,110.8,-0.71,cafe
2000-01-24,111.9,110.95,114.4,110.95,0.63,cafe
2000-01-25,112.85,111.6,113.7,111.6,0.85,cafe
2000-01-26,115.15,112.5,115.3,111.9,2.04,cafe
2000-01-27,114.6,114.75,116.4,112.8,-0.48,cafe
2000-01-28,114.7,115.1,115.4,113.7,0.09,cafe
2000-01-31,111.1,113.75,114.0,110.5,-3.14,cafe
2000-02-01,111.65,110.5,112.75,109.8,0.5,cafe
2000-02-02,112.25,112.75,114.25,111.75,0.54,cafe
2000-02-03,112.95,111.25,113.5,111.25,0.62,cafe
2000-02-04,112.9,112.5,114.5,112.5,-0.04,cafe
2000-02-07,111.7,113.9,114.25,111.25,-1.06,cafe
2000-02-08,108.55,112.25,112.4,108.5,-2.82,cafe
2000-02-09,107.7,108.25,109.4,106.9,-0.78,cafe
2000-02-10,108.75,108.0,109.0,107.3,0.97,cafe
2000-02-11,108.8,108.75,110.7,108.4,0.05,cafe
2000-02-14,105.0,106.9,107.6,104.25,-3.49,cafe
2000-02-15,105.8,106.0,106.7,105.3,0.76,cafe
2000-02-16,104.95,105.1,107.0,104.9,-0.8,cafe
2000-02-17,105.35,104.8,105.75,104.4,0.38,cafe
2000-02-18,104.3,105.75,106.4,103.75,-1.0,cafe
2000-02-22,103.2,103.0,104.75,103.0,-1.05,cafe
2000-02-23,103.6,103.0,104.25,102.5,0.39,cafe
2000-02-24,101.75,103.8,104.0,101.75,-1.79,cafe
2000-02-25,98.8,101.75,102.0,98.2,-2.9,cafe
2000-02-28,101.65,98.0,101.75,98.0,2.88,cafe
2000-02-29,99.9,102.0,103.0,99.45,-1.72,cafe
2000-03-01,101.15,101.25,101.7,100.25,1.25,cafe
2000-03-02,105.1,102.5,105.5,102.5,3.91,cafe
2000-03-03,104.35,104.75,105.4,103.85,-0.71,cafe
2000-03-06,106.3,103.5,106.5,103.5,1.87,cafe
2000-03-07,108.4,108.0,108.6,108.0,1.98,cafe
2000-03-08,107.4,108.75,108.75,107.0,-0.92,cafe
2000-03-09,107.2,108.25,109.0,108.0,-0.19,cafe
2000-03-10,106.1,106.5,106.7,105.8,-1.03,cafe
2000-03-13,106.0,106.5,106.5,105.75,-0.09,cafe
2000-03-14,102.55,106.1,106.5,102.25,-3.25,cafe
2000-03-15,103.0,103.0,103.0,101.5,0.44,cafe
2000-03-16,106.35,103.5,106.75,103.5,3.25,cafe
2000-03-17,106.1,105.0,106.15,105.5,-0.24,cafe
2000-03-20,103.1,106.0,105.0,103.25,-2.83,cafe
2000-03-21,103.75,103.5,104.0,103.5,0.63,cafe
2000-03-22,105.8,104.5,105.9,104.5,1.98,cafe
2000-03-23,102.1,105.75,107.0,101.5,-3.5,cafe
2000-03-24,103.15,102.75,103.25,101.05,1.03,cafe
2000-03-27,103.15,102.6,103.25,101.35,0.0,cafe
2000-03-28,104.5,104.0,105.3,103.8,1.31,cafe
2000-03-29,103.9,104.6,105.25,103.5,-0.57,cafe
2000-03-30,103.5,103.75,104.4,103.25,-0.38,cafe
2000-03-31,103.7,103.25,104.6,102.0,0.19,cafe
2000-04-03,102.1,103.1,103.7,101.3,-1.54,cafe
2000-04-04,100.1,102.1,102.4,99.9,-1.96,cafe
2000-04-05,101.8,98.9,102.5,97.2,1.7,cafe
2000-04-06,100.85,100.5,101.5,98.7,-0.93,cafe
2000-04-07,99.6,100.3,101.3,99.35,-1.24,cafe
2000-04-10,96.65,98.5,99.3,96.5,-2.96,cafe
2000-04-11,96.55,96.0,97.25,96.0,-0.1,cafe
2000-04-12,94.2,95.6,96.5,94.1,-2.43,cafe
2000-04-13,94.7,93.9,94.9,93.25,0.53,cafe
2000-04-14,92.65,94.0,95.25,91.95,-2.16,cafe
2000-04-17,92.8,92.8,93.5,92.3,0.16,cafe
2000-04-18,94.05,92.0,95.8,92.0,1.35,cafe
2000-04-19,95.7,94.5,95.8,94.0,1.75,cafe
