Fecha,Último_cobre,Apertura_cobre,Máximo_cobre,Mínimo_cobre,% var._cobre,Materia
2000-01-04,0.848,0.8615,0.862,0.845,-1.74,cobre
2000-01-05,0.8565,0.845,0.859,0.838,1.0,cobre
2000-01-06,0.853,0.856,0.8565,0.848,-0.41,cobre
2000-01-07,0.854,0.853,0.8625,0.8495,0.12,cobre
2000-01-10,0.8465,0.853,0.8545,0.84,-0.88,cobre
2000-01-11,0.8435,0.8455,0.851,0.842,-0.35,cobre
2000-01-12,0.866,0.844,0.8695,0.843,2.67,cobre
2000-01-13,0.8565,0.865,0.867,0.855,-1.1,cobre
2000-01-14,0.8625,0.858,0.863,0.855,0.7,cobre
2000-01-18,0.866,0.867,0.8695,0.851,0.41,cobre
2000-01-19,0.8825,0.865,0.883,0.865,1.91,cobre
2000-01-20,0.873,0.881,0.885,0.8675,-1.08,cobre
2000-01-21,0.873,0.8725,0.881,0.868,0.0,cobre
2000-01-24,0.8565,0.87,0.87,0.856,-1.89,cobre
2000-01-25,0.8425,0.8555,0.862,0.841,-1.63,cobre
2000-01-26,0.8415,0.842,0.853,0.835,-0.12,cobre
2000-01-27,0.8445,0.842,0.848,0.831,0.36,cobre
2000-01-28,0.84,0.852,0.8565,0.84,-0.53,cobre
2000-01-31,0.8545,0.8445,0.8545,0.8445,1.73,cobre
2000-02-01,0.848,0.855,0.855,0.844,-0.76,cobre
2000-02-02,0.8275,0.846,0.846,0.831,-2.42,cobre
2000-02-03,0.8305,0.83,0.831,0.826,0.36,cobre
2000-02-04,0.8325,0.822,0.8265,0.822,0.24,cobre
2000-02-07,0.8325,0.8295,0.8295,0.8285,0.0,cobre
2000-02-08,0.8255,0.8305,0.8305,0.829,-0.84,cobre
2000-02-09,0.8275,0.8295,0.8295,0.823,0.24,cobre
2000-02-10,0.8545,0.8405,0.8545,0.8405,3.26,cobre
2000-02-11,0.85,0.8545,0.857,0.8495,-0.53,cobre
2000-02-14,0.849,0.842,0.848,0.842,-0.12,cobre
2000-02-15,0.832,0.849,0.8495,0.828,-2.0,cobre
2000-02-16,0.833,0.828,0.8325,0.8275,0.12,cobre
2000-02-17,0.8415,0.836,0.8405,0.836,1.02,cobre
2000-02-18,0.837,0.842,0.8425,0.8405,-0.53,cobre
2000-02-22,0.833,0.8325,0.834,0.8255,-0.48,cobre
2000-02-23,0.845,0.843,0.843,0.842,1.44,cobre
2000-02-24,0.8405,0.846,0.849,0.8445,-0.53,cobre
2000-02-25,0.8215,0.835,0.835,0.8215,-2.26,cobre
2000-02-28,0.794,0.825,0.827,0.7915,-3.35,cobre
2000-02-29,0.798,0.795,0.8035,0.781,0.5,cobre
2000-03-01,0.803,0.7985,0.81,0.793,0.63,cobre
2000-03-02,0.797,0.7985,0.8055,0.791,-0.75,cobre
2000-03-03,0.803,0.797,0.8055,0.788,0.75,cobre
2000-03-06,0.8045,0.806,0.808,0.797,0.19,cobre
2000-03-07,0.7945,0.804,0.81,0.7915,-1.24,cobre
2000-03-08,0.7895,0.7945,0.7945,0.7815,-0.63,cobre
2000-03-09,0.799,0.7895,0.7995,0.787,1.2,cobre
2000-03-10,0.7915,0.8,0.803,0.79,-0.94,cobre
2000-03-13,0.79,0.7895,0.7935,0.782,-0.19,cobre
2000-03-14,0.803,0.787,0.81,0.787,1.65,cobre
2000-03-15,0.811,0.8025,0.814,0.8015,1.0,cobre
2000-03-16,0.8195,0.8085,0.8225,0.806,1.05,cobre
2000-03-17,0.8145,0.819,0.821,0.8125,-0.61,cobre
2000-03-20,0.8075,0.8175,0.819,0.806,-0.86,cobre
2000-03-21,0.8185,0.806,0.822,0.805,1.36,cobre
2000-03-22,0.817,0.8175,0.826,0.8135,-0.18,cobre
2000-03-23,0.818,0.815,0.8185,0.81,0.12,cobre
2000-03-24,0.811,0.818,0.82,0.809,-0.86,cobre
2000-03-27,0.8025,0.809,0.8115,0.795,-1.05,cobre
2000-03-28,0.804,0.802,0.8065,0.799,0.19,cobre
2000-03-29,0.807,0.8035,0.8085,0.8,0.37,cobre
2000-03-30,0.811,0.8155,0.8155,0.8135,0.5,cobre
2000-03-31,0.8085,0.809,0.809,0.805,-0.31,cobre
2000-04-03,0.8055,0.7995,0.8045,0.7965,-0.37,cobre
2000-04-04,0.7965,0.8,0.8025,0.796,-1.12,cobre
2000-04-05,0.7945,0.7965,0.799,0.7965,-0.25,cobre
2000-04-06,0.7675,0.779,0.78,0.7675,-3.4,cobre
2000-04-07,0.7725,0.768,0.774,0.768,0.65,cobre
2000-04-10,0.78,0.7735,0.7805,0.7735,0.97,cobre
2000-04-11,0.7845,0.786,0.787,0.786,0.58,cobre
2000-04-12,0.782,0.7805,0.7805,0.7805,-0.32,cobre
2000-04-13,0.7745,0.777,0.7775,0.7725,-0.96,cobre
2000-04-14,0.7585,0.766,0.766,0.7585,-2.07,cobre
2000-04-17,0.7485,0.75,0.7525,0.749,-1.32,cobre
2000-04-18,0.7695,0.764,0.768,0.764,2.81,cobre
2000-04-19,0.7745,0.772,0.779,0.771,0.65,cobre
2000-04-20,0.771,0.7725,0.773,0.771,-0.45,cobre
2000-04-24,0.7715,0.77,0.77,0.763,0.06,cobre
2000-04-25,0.794,0.78,0.7935,0.78,2.92,cobre
2000-04-26,0.788,0.791,0.792,0.787,-0.76,cobre
2000-04-27,0.7965,0.7905,0.798,0.787,1.08,cobre
2000-04-28,0.796,0.7965,0.808,0.795,-0.06,cobre
2000-05-01,0.8,0.795,0.8,0.795,0.5,cobre
