Fecha,Último_gas_natural,Apertura_gas_natural,Máximo_gas_natural,Mínimo_gas_natural,% var._gas_natural,Materia
2000-01-04,2.176,2.13,2.2,2.13,-6.57,gas_natural
2000-01-05,2.168,2.18,2.2,2.125,-0.37,gas_natural
2000-01-06,2.196,2.165,2.22,2.135,1.29,gas_natural
2000-01-07,2.173,2.195,2.23,2.155,-1.05,gas_natural
2000-01-10,2.216,2.18,2.255,2.165,1.98,gas_natural
2000-01-11,2.26,2.211,2.265,2.205,1.99,gas_natural
2000-01-12,2.244,2.267,2.285,2.19,-0.71,gas_natural
2000-01-13,2.252,2.245,2.29,2.235,0.36,gas_natural
2000-01-14,2.322,2.26,2.35,2.25,3.11,gas_natural
2000-01-18,2.383,2.36,2.39,2.335,2.63,gas_natural
2000-01-19,2.417,2.39,2.465,2.37,1.43,gas_natural
2000-01-20,2.559,2.4,2.58,2.383,5.88,gas_natural
2000-01-21,2.485,2.545,2.635,2.42,-2.89,gas_natural
2000-01-24,2.528,2.53,2.57,2.49,1.73,gas_natural
2000-01-25,2.616,2.535,2.63,2.53,3.48,gas_natural
2000-01-26,2.523,2.62,2.67,2.5,-3.56,gas_natural
2000-01-27,2.61,2.515,2.68,2.495,3.45,gas_natural
2000-01-28,2.532,2.55,2.66,2.5,-2.99,gas_natural
2000-01-31,2.662,2.575,2.675,2.565,5.13,gas_natural
2000-02-01,2.699,2.67,2.745,2.635,1.39,gas_natural
2000-02-02,2.759,2.69,2.78,2.671,2.22,gas_natural
2000-02-03,2.659,2.76,2.77,2.63,-3.62,gas_natural
2000-02-04,2.742,2.645,2.75,2.62,3.12,gas_natural
2000-02-07,2.562,2.695,2.715,2.55,-6.56,gas_natural
2000-02-08,2.495,2.559,2.577,2.475,-2.62,gas_natural
2000-02-09,2.54,2.5,2.565,2.495,1.8,gas_natural
2000-02-10,2.592,2.55,2.61,2.525,2.05,gas_natural
2000-02-11,2.57,2.595,2.665,2.56,-0.85,gas_natural
2000-02-14,2.541,2.53,2.56,2.515,-1.13,gas_natural
2000-02-15,2.618,2.55,2.625,2.525,3.03,gas_natural
2000-02-16,2.564,2.63,2.648,2.555,-2.06,gas_natural
2000-02-17,2.667,2.58,2.675,2.577,4.02,gas_natural
2000-02-18,2.633,2.67,2.68,2.595,-1.27,gas_natural
2000-02-22,2.515,2.545,2.57,2.49,-4.48,gas_natural
2000-02-23,2.53,2.5,2.545,2.465,0.6,gas_natural
2000-02-24,2.549,2.54,2.56,2.505,0.75,gas_natural
2000-02-25,2.603,2.55,2.64,2.53,2.12,gas_natural
2000-02-28,2.686,2.59,2.72,2.585,3.19,gas_natural
2000-02-29,2.761,2.69,2.77,2.66,2.79,gas_natural
2000-03-01,2.815,2.76,2.835,2.725,1.96,gas_natural
2000-03-02,2.783,2.815,2.865,2.75,-1.14,gas_natural
2000-03-03,2.825,2.78,2.83,2.745,1.51,gas_natural
2000-03-06,2.85,2.795,2.86,2.78,0.88,gas_natural
2000-03-07,2.799,2.86,2.88,2.775,-1.79,gas_natural
2000-03-08,2.71,2.79,2.8,2.707,-3.18,gas_natural
2000-03-09,2.786,2.706,2.795,2.67,2.8,gas_natural
2000-03-10,2.774,2.8,2.84,2.765,-0.43,gas_natural
2000-03-13,2.86,2.81,2.875,2.81,3.1,gas_natural
2000-03-14,2.809,2.86,2.863,2.79,-1.78,gas_natural
2000-03-15,2.866,2.815,2.885,2.75,2.03,gas_natural
2000-03-16,2.851,2.865,2.9,2.825,-0.52,gas_natural
2000-03-17,2.785,2.86,2.86,2.78,-2.31,gas_natural
2000-03-20,2.714,2.76,2.775,2.71,-2.55,gas_natural
2000-03-21,2.751,2.72,2.77,2.71,1.36,gas_natural
2000-03-22,2.794,2.751,2.815,2.745,1.56,gas_natural
2000-03-23,2.847,2.798,2.85,2.74,1.9,gas_natural
2000-03-24,2.836,2.85,2.87,2.815,-0.39,gas_natural
2000-03-27,2.914,2.83,2.935,2.81,2.75,gas_natural
2000-03-28,2.963,2.931,2.98,2.91,1.68,gas_natural
2000-03-29,2.9,2.945,2.965,2.86,-2.13,gas_natural
2000-03-30,2.873,2.905,2.905,2.845,-0.93,gas_natural
2000-03-31,2.945,2.875,2.955,2.86,2.51,gas_natural
2000-04-03,2.889,2.94,2.945,2.88,-1.9,gas_natural
2000-04-04,2.822,2.89,2.93,2.815,-2.32,gas_natural
2000-04-05,2.888,2.824,2.9,2.82,2.34,gas_natural
2000-04-06,2.956,2.894,2.96,2.879,2.35,gas_natural
2000-04-07,2.971,2.96,3.015,2.935,0.51,gas_natural
2000-04-10,2.971,2.97,3.025,2.955,0.0,gas_natural
2000-04-11,2.949,2.949,2.98,2.94,-0.74,gas_natural
2000-04-12,3.021,2.948,3.03,2.946,2.44,gas_natural
2000-04-13,3.087,3.025,3.105,3.025,2.18,gas_natural
2000-04-14,3.078,3.084,3.1,3.05,-0.29,gas_natural
2000-04-17,3.158,3.11,3.175,3.11,2.6,gas_natural
2000-04-18,3.098,3.164,3.165,3.065,-1.9,gas_natural
2000-04-19,3.055,3.095,3.145,3.05,-1.39,gas_natural
2000-04-20,3.073,3.055,3.085,3.045,0.59,gas_natural
2000-04-24,3.137,3.11,3.15,3.11,2.08,gas_natural
2000-04-25,3.11,3.145,3.16,3.085,-0.86,gas_natural
2000-04-26,3.089,3.11,3.13,3.075,-0.68,gas_natural
2000-04-27,3.055,3.085,3.089,3.04,-1.1,gas_natural
2000-04-28,3.141,3.06,3.165,3.055,2.82,gas_natural
2000-05-01,3.216,3.175,3.235,3.165,2.39,gas_natural
2000-05-02,3.217,3.215,3.24,3.165,0.03,gas_natural
2000-05-03,3.126,3.22,3.235,3.125,-2.83,gas_natural
2000-05-04,3.107,3.12,3.124,3.05,-0.61,gas_natural
2000-05-05,3.025,3.115,3.135,3.01,-2.64,gas_natural
2000-05-08,3.17,3.065,3.18,3.05,4.79,gas_natural
2000-05-09,3.183,3.168,3.23,3.165,0.41,gas_natural
2000-05-10,3.317,3.18,3.325,3.15,4.21,gas_natural
2000-05-11,3.352,3.32,3.385,3.31,1.06,gas_natural
2000-05-12,3.354,3.352,3.369,3.31,0.06,gas_natural
2000-05-15,3.396,3.33,3.42,3.315,1.25,gas_natural
2000-05-16,3.448,3.395,3.475,3.393,1.53,gas_natural
2000-05-17,3.689,3.453,3.73,3.438,6.99,gas_natural
2000-05-18,3.71,3.696,3.74,3.625,0.57,gas_natural
2000-05-19,3.825,3.706,3.84,3.706,3.1,gas_natural
2000-05-22,3.747,3.94,3.985,3.72,-2.04,gas_natural
2000-05-23,3.814,3.745,3.825,3.74,1.79,gas_natural
2000-05-24,4.073,3.829,4.1,3.829,6.79,gas_natural
2000-05-25,4.236,4.1,4.25,4.08,4.0,gas_natural
2000-05-26,4.406,4.215,4.5,4.23,4.01,gas_natural
2000-05-30,4.354,4.32,4.36,4.23,-1.18,gas_natural
2000-05-31,4.356,4.379,4.555,4.345,0.05,gas_natural
2000-06-01,4.064,4.349,4.37,3.8,-6.7,gas_natural
2000-06-02,4.043,4.07,4.16,3.93,-0.52,gas_natural
2000-06-05,4.398,4.08,4.41,4.05,8.78,gas_natural
2000-06-06,4.294,4.4,4.575,4.245,-2.36,gas_natural
2000-06-07,3.945,4.3,4.335,3.93,-8.13,gas_natural
2000-06-08,4.133,3.95,4.17,3.83,4.77,gas_natural
2000-06-09,4.16,4.15,4.24,4.06,0.65,gas_natural
2000-06-12,4.212,4.18,4.27,4.09,1.25,gas_natural
2000-06-13,4.158,4.23,4.265,4.115,-1.28,gas_natural
2000-06-14,4.256,4.161,4.315,4.09,2.36,gas_natural
2000-06-15,4.463,4.277,4.48,4.27,4.86,gas_natural
2000-06-16,4.488,4.461,4.58,4.415,0.56,gas_natural
2000-06-19,4.063,4.45,4.45,4.05,-9.47,gas_natural
2000-06-20,4.107,4.06,4.22,3.96,1.08,gas_natural
2000-06-21,4.378,4.12,4.39,4.095,6.6,gas_natural
2000-06-22,4.551,4.38,4.59,4.335,3.95,gas_natural
2000-06-23,4.448,4.535,4.55,4.395,-2.26,gas_natural
2000-06-26,4.56,4.34,4.57,4.31,2.52,gas_natural
2000-06-27,4.686,4.549,4.715,4.535,2.76,gas_natural
2000-06-28,4.369,4.615,4.64,4.3,-6.76,gas_natural
2000-06-29,4.423,4.407,4.47,4.22,1.24,gas_natural
2000-06-30,4.476,4.45,4.49,4.391,1.2,gas_natural
2000-07-05,4.109,4.27,4.28,4.07,-8.2,gas_natural
2000-07-06,4.066,4.081,4.2,3.98,-1.05,gas_natural
2000-07-07,4.262,4.08,4.31,3.97,4.82,gas_natural
2000-07-10,4.228,4.19,4.295,4.17,-0.8,gas_natural
2000-07-11,4.257,4.216,4.28,4.0,0.69,gas_natural
2000-07-12,4.031,4.24,4.36,3.91,-5.31,gas_natural
2000-07-13,4.166,4.01,4.195,3.985,3.35,gas_natural
2000-07-14,4.15,4.16,4.23,4.131,-0.38,gas_natural
2000-07-17,4.002,4.135,4.135,3.99,-3.57,gas_natural
2000-07-18,4.044,3.98,4.12,3.92,1.05,gas_natural
2000-07-19,3.884,4.035,4.095,3.87,-3.96,gas_natural
2000-07-20,3.86,3.87,3.885,3.79,-0.62,gas_natural
2000-07-21,3.834,3.855,3.93,3.82,-0.67,gas_natural
2000-07-24,3.715,3.75,3.78,3.695,-3.1,gas_natural
2000-07-25,3.66,3.705,3.705,3.64,-1.48,gas_natural
2000-07-26,3.763,3.66,3.85,3.61,2.81,gas_natural
2000-07-27,3.82,3.763,3.87,3.76,1.51,gas_natural
2000-07-28,3.845,3.855,3.985,3.84,0.65,gas_natural
2000-07-31,3.774,3.8,3.839,3.77,-1.85,gas_natural
2000-08-01,3.987,3.77,4.03,3.76,5.64,gas_natural
2000-08-02,4.214,3.999,4.22,3.99,5.69,gas_natural
2000-08-03,4.25,4.22,4.29,4.18,0.85,gas_natural
2000-08-04,4.296,4.24,4.39,4.185,1.08,gas_natural
2000-08-07,4.348,4.38,4.43,4.345,1.21,gas_natural
2000-08-08,4.409,4.33,4.48,4.32,1.4,gas_natural
2000-08-09,4.419,4.44,4.565,4.39,0.23,gas_natural
2000-08-10,4.468,4.45,4.475,4.36,1.11,gas_natural
2000-08-11,4.475,4.475,4.52,4.395,0.16,gas_natural
2000-08-14,4.318,4.435,4.445,4.305,-3.51,gas_natural
2000-08-15,4.234,4.333,4.345,4.21,-1.95,gas_natural
2000-08-16,4.413,4.22,4.435,4.2,4.23,gas_natural
2000-08-17,4.406,4.42,4.48,4.38,-0.16,gas_natural
2000-08-18,4.436,4.39,4.465,4.38,0.68,gas_natural
2000-08-21,4.747,4.53,4.76,4.53,7.01,gas_natural
2000-08-22,4.52,4.75,4.85,4.5,-4.78,gas_natural
2000-08-23,4.605,4.534,4.79,4.511,1.88,gas_natural
2000-08-24,4.54,4.586,4.625,4.41,-1.41,gas_natural
2000-08-25,4.628,4.545,4.663,4.53,1.94,gas_natural
2000-08-28,4.685,4.61,4.775,4.57,1.23,gas_natural
2000-08-29,4.618,4.7,4.729,4.57,-1.43,gas_natural
2000-08-30,4.801,4.64,4.81,4.585,3.96,gas_natural
2000-08-31,4.782,4.811,4.865,4.74,-0.4,gas_natural
2000-09-01,4.835,4.78,4.86,4.741,1.11,gas_natural
2000-09-05,4.95,4.85,4.975,4.84,2.38,gas_natural
2000-09-06,5.071,4.955,5.1,4.955,2.44,gas_natural
2000-09-07,4.998,5.069,5.07,4.89,-1.44,gas_natural
2000-09-08,4.88,5.007,5.025,4.845,-2.36,gas_natural
2000-09-11,5.011,4.825,5.095,4.825,2.68,gas_natural
2000-09-12,5.008,5.015,5.07,4.96,-0.06,gas_natural
2000-09-13,5.055,5.03,5.17,4.92,0.94,gas_natural
2000-09-14,5.195,5.08,5.223,5.08,2.77,gas_natural
2000-09-15,5.206,5.205,5.34,5.17,0.21,gas_natural
2000-09-18,5.295,5.111,5.31,4.93,1.71,gas_natural
2000-09-19,5.363,5.3,5.385,5.23,1.28,gas_natural
2000-09-20,5.318,5.381,5.41,5.26,-0.84,gas_natural
2000-09-21,5.287,5.295,5.33,5.21,-0.58,gas_natural
2000-09-22,5.131,5.23,5.32,5.105,-2.95,gas_natural
