Fecha,Último_oro,Apertura_oro,Máximo_oro,Mínimo_oro,% var._oro,Materia
2000-01-04,283.7,289.5,289.5,280.0,-2.04,oro
2000-01-05,282.1,283.7,285.0,281.0,-0.56,oro
2000-01-06,282.4,281.6,282.8,280.2,0.11,oro
2000-01-07,282.9,282.5,284.5,282.0,0.18,oro
2000-01-10,282.7,282.4,283.9,281.8,-0.07,oro
2000-01-11,284.4,282.4,285.3,281.9,0.6,oro
2000-01-12,283.7,284.5,285.0,282.5,-0.25,oro
2000-01-13,285.1,283.5,285.9,282.9,0.49,oro
2000-01-14,284.9,285.2,285.6,284.0,-0.07,oro
2000-01-18,289.6,286.1,289.8,285.9,1.65,oro
2000-01-19,290.3,289.6,291.0,287.5,0.24,oro
2000-01-20,289.3,290.3,290.7,288.4,-0.34,oro
2000-01-21,289.7,289.0,290.3,287.4,0.14,oro
2000-01-24,288.1,289.7,289.7,286.3,-0.55,oro
2000-01-25,286.6,288.0,291.8,286.6,-0.52,oro
2000-01-26,286.5,286.8,287.5,284.7,-0.03,oro
2000-01-27,287.1,286.2,287.5,285.6,0.21,oro
2000-01-28,286.0,289.6,290.7,283.0,-0.38,oro
2000-01-31,286.2,286.0,287.4,284.9,0.07,oro
2000-02-01,285.4,286.0,286.5,285.0,-0.28,oro
2000-02-02,287.7,285.4,289.2,285.3,0.81,oro
2000-02-03,289.9,287.7,290.9,287.0,0.76,oro
2000-02-04,313.0,290.2,318.5,289.9,7.97,oro
2000-02-07,304.5,318.0,326.9,302.0,-2.72,oro
2000-02-08,301.7,306.0,308.0,298.5,-0.92,oro
2000-02-09,308.6,301.7,314.0,301.7,2.29,oro
2000-02-10,318.7,308.5,319.0,308.5,3.27,oro
2000-02-11,313.6,318.3,320.4,311.0,-1.6,oro
2000-02-14,311.0,313.6,313.6,308.3,-0.83,oro
2000-02-15,304.1,310.7,311.5,303.8,-2.22,oro
2000-02-16,305.0,304.2,306.0,299.7,0.3,oro
2000-02-17,303.8,305.3,312.5,300.0,-0.39,oro
2000-02-18,307.3,303.3,307.8,302.0,1.15,oro
