Fecha,Último_petroleo,Apertura_petroleo,Máximo_petroleo,Mínimo_petroleo,% var._petroleo,Materia
2000-01-04,25.55,25.2,25.69,24.71,-0.2,petroleo
2000-01-05,24.91,25.5,25.61,24.87,-2.5,petroleo
2000-01-06,24.78,24.8,25.34,24.51,-0.52,petroleo
2000-01-07,24.22,24.65,25.0,24.15,-2.26,petroleo
2000-01-10,24.67,24.22,24.75,24.02,1.86,petroleo
2000-01-11,25.77,24.71,25.8,24.67,4.46,petroleo
2000-01-12,26.28,25.73,26.55,25.38,1.98,petroleo
2000-01-13,26.69,26.28,27.12,26.2,1.56,petroleo
2000-01-14,28.02,26.8,28.1,26.61,4.98,petroleo
2000-01-18,28.85,28.03,29.0,27.96,2.96,petroleo
2000-01-19,29.54,28.8,29.68,28.55,2.39,petroleo
2000-01-20,29.66,29.4,29.95,28.8,0.41,petroleo
2000-01-21,28.2,27.85,29.1,27.7,-4.92,petroleo
2000-01-24,27.83,28.23,28.69,27.51,-1.31,petroleo
2000-01-25,28.28,27.78,28.55,27.35,1.62,petroleo
2000-01-26,27.84,28.29,28.77,27.8,-1.56,petroleo
2000-01-27,27.32,27.78,28.1,27.19,-1.87,petroleo
2000-01-28,27.22,27.22,27.55,26.95,-0.37,petroleo
2000-01-31,27.64,27.1,27.9,26.7,1.54,petroleo
2000-02-01,28.22,27.6,28.4,27.6,2.1,petroleo
2000-02-02,27.55,28.22,28.65,27.45,-2.37,petroleo
2000-02-03,28.03,27.56,28.4,27.41,1.74,petroleo
2000-02-04,28.82,28.17,28.87,27.75,2.82,petroleo
2000-02-07,28.45,28.71,28.9,28.25,-1.28,petroleo
2000-02-08,28.02,28.44,28.49,27.91,-1.51,petroleo
2000-02-09,28.77,28.0,28.84,27.71,2.68,petroleo
2000-02-10,29.43,28.6,29.5,28.6,2.29,petroleo
2000-02-11,29.44,29.42,29.94,29.02,0.03,petroleo
2000-02-14,30.25,29.44,30.3,29.35,2.75,petroleo
2000-02-15,30.06,30.28,30.45,29.8,-0.63,petroleo
2000-02-16,30.05,30.02,30.24,29.35,-0.03,petroleo
2000-02-17,29.46,30.04,30.05,29.05,-1.96,petroleo
2000-02-18,29.51,29.41,29.6,29.05,0.17,petroleo
2000-02-22,29.62,29.2,30.3,28.85,0.37,petroleo
2000-02-23,29.39,28.88,29.45,28.72,-0.78,petroleo
