Fecha,Último_plata,Apertura_plata,Máximo_plata,Mínimo_plata,% var._plata,Materia
2000-01-04,5.375,5.42,5.42,5.32,-1.43,plata
2000-01-05,5.21,5.375,5.38,5.16,-3.07,plata
2000-01-06,5.167,5.205,5.215,5.15,-0.83,plata
2000-01-07,5.195,5.17,5.215,5.15,0.54,plata
2000-01-10,5.19,5.19,5.23,5.17,-0.1,plata
2000-01-11,5.195,5.19,5.22,5.19,0.1,plata
2000-01-12,5.143,5.205,5.225,5.125,-1.0,plata
2000-01-13,5.153,5.14,5.175,5.125,0.19,plata
2000-01-14,5.15,5.16,5.18,5.13,-0.06,plata
2000-01-18,5.165,5.16,5.19,5.125,0.29,plata
2000-01-19,5.173,5.17,5.19,5.14,0.15,plata
2000-01-20,5.257,5.18,5.285,5.155,1.62,plata
2000-01-21,5.26,5.26,5.3,5.23,0.06,plata
2000-01-24,5.293,5.26,5.32,5.255,0.63,plata
2000-01-25,5.315,5.295,5.36,5.29,0.42,plata
2000-01-26,5.283,5.32,5.325,5.255,-0.6,plata
2000-01-27,5.415,5.28,5.43,5.255,2.5,plata
2000-01-28,5.327,5.415,5.5,5.32,-1.63,plata
2000-01-31,5.317,5.31,5.36,5.275,-0.19,plata
2000-02-01,5.253,5.32,5.325,5.23,-1.2,plata
2000-02-02,5.24,5.255,5.315,5.235,-0.25,plata
2000-02-03,5.288,5.24,5.295,5.235,0.92,plata
2000-02-04,5.572,5.29,5.6,5.28,5.37,plata
2000-02-07,5.285,5.57,5.6,5.26,-5.15,plata
2000-02-08,5.34,5.29,5.37,5.28,1.04,plata
2000-02-09,5.43,5.345,5.46,5.33,1.69,plata
2000-02-10,5.425,5.43,5.47,5.35,-0.09,plata
2000-02-11,5.35,5.425,5.445,5.335,-1.38,plata
2000-02-14,5.27,5.355,5.355,5.26,-1.5,plata
2000-02-15,5.258,5.28,5.3,5.25,-0.23,plata
2000-02-16,5.305,5.26,5.32,5.255,0.89,plata
2000-02-17,5.265,5.3,5.355,5.25,-0.75,plata
2000-02-18,5.283,5.26,5.295,5.26,0.34,plata
2000-02-22,5.293,5.285,5.3,5.24,0.19,plata
2000-02-23,5.263,5.3,5.305,5.255,-0.57,plata
2000-02-24,5.17,5.26,5.265,5.16,-1.77,plata
2000-02-25,5.088,5.225,5.245,5.08,-1.59,plata
2000-02-28,5.11,5.11,5.15,5.09,0.43,plata
2000-02-29,5.108,5.11,5.15,5.1,-0.04,plata
2000-03-01,5.133,5.125,5.19,5.12,0.49,plata
2000-03-02,5.063,5.14,5.14,5.06,-1.36,plata
2000-03-03,5.153,5.065,5.17,5.06,1.78,plata
2000-03-06,5.105,5.145,5.15,5.1,-0.93,plata
2000-03-07,5.12,5.105,5.165,5.1,0.29,plata
2000-03-08,5.125,5.13,5.14,5.11,0.1,plata
2000-03-09,5.14,5.125,5.155,5.075,0.29,plata
2000-03-10,5.107,5.145,5.155,5.105,-0.64,plata
2000-03-13,5.107,5.12,5.16,5.105,0.0,plata
2000-03-14,5.132,5.12,5.155,5.115,0.49,plata
2000-03-15,5.165,5.135,5.2,5.1,0.64,plata
2000-03-16,5.125,5.17,5.175,5.09,-0.77,plata
2000-03-17,5.13,5.13,5.14,5.105,0.1,plata
2000-03-20,5.068,5.13,5.145,5.06,-1.21,plata
2000-03-21,5.158,5.075,5.2,5.065,1.78,plata
2000-03-22,5.165,5.165,5.21,5.15,0.14,plata
2000-03-23,5.123,5.17,5.17,5.1,-0.81,plata
2000-03-24,5.148,5.125,5.17,5.105,0.49,plata
2000-03-27,5.12,5.155,5.155,5.105,-0.54,plata
2000-03-28,5.103,5.115,5.135,5.095,-0.33,plata
2000-03-29,4.98,5.105,5.12,4.965,-2.41,plata
2000-03-30,4.983,4.99,4.99,4.92,0.06,plata
2000-03-31,5.045,4.98,5.05,4.95,1.24,plata
2000-04-03,5.057,5.045,5.085,5.035,0.24,plata
2000-04-04,5.165,5.055,5.21,5.015,2.14,plata
2000-04-05,5.137,5.155,5.19,5.115,-0.54,plata
2000-04-06,5.132,5.135,5.15,5.1,-0.1,plata
2000-04-07,5.122,5.145,5.145,5.105,-0.19,plata
2000-04-10,5.168,5.135,5.185,5.12,0.9,plata
2000-04-11,5.145,5.17,5.185,5.13,-0.45,plata
2000-04-12,5.148,5.15,5.18,5.115,0.06,plata
2000-04-13,5.175,5.145,5.195,5.14,0.52,plata
2000-04-14,5.175,5.175,5.24,5.125,0.0,plata
2000-04-17,5.143,5.17,5.185,5.135,-0.62,plata
2000-04-18,5.14,5.14,5.175,5.11,-0.06,plata
2000-04-19,5.133,5.145,5.16,5.125,-0.14,plata
2000-04-20,5.0,5.135,5.14,4.97,-2.59,plata
2000-04-24,4.953,5.01,5.035,4.95,-0.94,plata
2000-04-25,5.015,4.955,5.02,4.955,1.25,plata
2000-04-26,4.947,5.01,5.02,4.93,-1.36,plata
2000-04-27,5.015,5.015,5.045,4.975,1.37,plata
2000-04-28,5.015,5.025,5.04,4.985,0.0,plata
2000-05-01,5.077,5.025,5.1,5.0,1.24,plata
2000-05-02,5.077,5.09,5.095,5.06,0.0,plata
2000-05-03,5.077,5.07,5.105,5.055,0.0,plata
2000-05-04,5.17,5.075,5.18,5.065,1.83,plata
2000-05-05,5.053,5.17,5.175,5.035,-2.26,plata
2000-05-08,5.065,5.055,5.095,5.04,0.24,plata
2000-05-09,5.085,5.07,5.135,5.045,0.39,plata
2000-05-10,5.08,5.08,5.11,5.065,-0.1,plata
